Work,Function_Size_Category,Count,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,1-26,189,452,992,105,0.4556,0.8115
PS3,27-63,200,510,1077,125,0.4735,0.8031
PS3,64-159,225,598,1205,224,0.4963,0.7275
PS3,>159,229,604,1197,261,0.5046,0.6983
BinXray,1-26,199,769,1046,113,0.7352,0.8719
BinXray,27-63,212,937,1144,114,0.8191,0.8915
BinXray,64-159,234,1008,1253,118,0.8045,0.8952
BinXray,>159,236,920,1241,233,0.7413,0.7979
PatchDiscovery,1-26,191,717,997,206,0.7192,0.7768
PatchDiscovery,27-63,206,848,1110,216,0.7640,0.7970
PatchDiscovery,64-159,228,919,1217,268,0.7551,0.7742
PatchDiscovery,>159,234,899,1226,308,0.7333,0.7448
Robin,1-26,54,242,290,35,0.8345,0.8736
Robin,27-63,70,313,374,50,0.8369,0.8623
Robin,64-159,48,198,257,47,0.7704,0.8082
Robin,>159,24,100,128,23,0.7812,0.8130
