Work,Patch_Size_Category,Count,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,1-3,134,356,689,131,0.5167,0.7310
PS3,4-8,139,328,728,105,0.4505,0.7575
PS3,9-20,136,366,713,109,0.5133,0.7705
PS3,>20,129,349,693,104,0.5036,0.7704
BinXray,1-3,140,524,695,117,0.7540,0.8175
BinXray,4-8,143,551,730,132,0.7548,0.8067
BinXray,9-20,139,554,704,126,0.7869,0.8147
BinXray,>20,132,466,695,171,0.6705,0.7316
PatchDiscovery,1-3,140,532,708,176,0.7514,0.7514
PatchDiscovery,4-8,143,550,740,190,0.7432,0.7432
PatchDiscovery,9-20,139,552,716,162,0.7709,0.7731
PatchDiscovery,>20,133,443,709,238,0.6248,0.6505
React,1-3,124,193,637,162,0.3030,0.5437
React,4-8,125,217,672,130,0.3229,0.6254
React,9-20,120,232,658,102,0.3526,0.6946
React,>20,109,250,618,95,0.4045,0.7246
Robin,1-3,20,78,0,27,0.0000,0.7429
Robin,4-8,23,100,0,17,0.0000,0.8547
Robin,9-20,41,166,0,37,0.0000,0.8177
Robin,>20,66,287,0,55,0.0000,0.8392
