CVE,succeed,failed,false_positive,false_negative,func_not_found,target
CVE-2015-8895,0,4,,,,4
CVE-2015-8896,0,4,,,,4
CVE-2015-8900,0,3,,,,3
CVE-2015-8958,0,0,,69967f4161bd;f4e4ebab852a;6cad3f644f0d;932ffb4af454,,4
CVE-2016-10060,0,0,,9f96fe801a5d;2ef7c3652e78;cd80a8a842d9;56fba375ff6f,,4
CVE-2016-10065,2,2,,,,4
CVE-2016-5689,0,4,,,,4
CVE-2016-5690,0,4,,,,4
CVE-2016-5691,0,4,,,,4
CVE-2016-6491,0,0,,f2dc1dd09342;1309276c9907;9e7d67541600;a5abceec48df,,4
CVE-2016-7101,0,4,,,,4
CVE-2016-7514,0,4,,,,4
CVE-2016-7534,0,3,,,,3
CVE-2016-9556,0,4,,,,4
CVE-2017-11523,0,0,,8ea06c4f7028;089751036261;b8fcb59e9e1d,,3
CVE-2017-14174,4,0,,,,4
CVE-2017-15032,0,4,,,,4
CVE-2017-15033,0,4,,,,4
CVE-2017-15277,0,4,,,,4
CVE-2017-9098,0,4,,,,4
CVE-2017-9499,0,4,,,,4
CVE-2018-16643,0,4,,,,4
CVE-2018-16644,0,4,,,,4
CVE-2018-16645,0,4,,,,4
CVE-2018-20467,0,4,,,,4
CVE-2019-11470,0,4,,,,4
CVE-2019-13307,0,0,,0c33fe598495,,1
