CVE,succeed,failed,false_positive,false_negative,func_not_found,target
CVE-2013-0338,0,4,,,,4
CVE-2013-0339,0,0,,a28bc7515819;3e7b4f37aaaf;a3c8b1805ecf;ce76ebfd1312,,4
CVE-2015-5312,0,0,,2a350ee9b47a;0e1a49c89076;7e3f469be9ab;463bbeeca180,,4
CVE-2015-7497,0,2,,,,2
CVE-2015-7498,0,0,,a19fa11e1d6c;921796b06bde;aab584dc3127;7fbd454d9f70,,4
CVE-2015-7499,0,0,,2099441f329c;b4d46cee80b5;9a6ca816124d;56cc2211bcfa,,4
CVE-2015-7500,0,0,,b48226f78c62;5f440d8cadea;04d1bedd8c3f;b75976e02999,,4
CVE-2015-7941,0,4,,,,4
CVE-2015-8241,0,0,,f61b8a62332d;2a350ee9b47a,,2
CVE-2016-1834,0,0,,c7260a47f19e;2cac626976ac;6010a5369f55,,3
CVE-2016-1838,0,1,,,,1
CVE-2016-4449,0,0,,2a350ee9b47a;463bbeeca180;0e1a49c89076;c3fd8c429591,,4
CVE-2017-16932,0,0,,bc18f4a67cf4,,1
CVE-2017-5130,0,0,,9dbf13745521;65d381f32c0d;2e9aeecb4e5f;ed48d65b4d6c,,4
