CVE,succeed,failed,false_positive,false_negative,func_not_found,target
CVE-2017-12893,0,0,,3a7639e545c0;b3171b9a9f50;1ac29c4be46a;dcca20dd391f,,4
CVE-2017-12894,4,0,,,,4
CVE-2017-12895,0,4,,,,4
CVE-2017-12896,0,4,,,,4
CVE-2017-12897,4,0,,,,4
CVE-2017-12898,0,4,,,,4
CVE-2017-12899,0,0,,5c2027db8817;8bbad56e3761;bef667db65b1;ee68aa36460d,,4
CVE-2017-12901,0,0,,59d37c7ec5a7;e2982e7f6f0b;ee68aa36460d;e150c713a2ea,,4
CVE-2017-12902,0,4,,,,4
CVE-2017-12985,4,0,,,,4
CVE-2017-12987,0,4,,,,4
CVE-2017-12988,0,0,,e2982e7f6f0b;ba8936b39b0c;abc8c2d61c65;56d8c43b671a,,4
CVE-2017-12989,0,4,,,,4
CVE-2017-12990,4,0,,,,4
CVE-2017-12991,0,0,,24df77f09e26;f9c2c905b118;756d0a1356a4;e2982e7f6f0b,,4
CVE-2017-12992,0,4,,,,4
CVE-2017-12993,0,0,,e2982e7f6f0b;21b12733b62c;3712d818767d;61c422a88cae,,4
CVE-2017-12994,0,4,,,,4
CVE-2017-12996,0,0,,f68c3e3ec011;e2982e7f6f0b;034c2fc03a6b;577621026df8,,4
CVE-2017-12997,0,4,,,,4
CVE-2017-12998,0,4,,,,4
CVE-2017-12999,0,0,,77a49fcb6ee8;6e15ad4b9938;3e3e6d2ef4c1;b09710dfcdd5,,4
CVE-2017-13000,0,3,,,,3
CVE-2017-13002,0,0,,8186bd1a7693;ef5323efe6c0;e2982e7f6f0b;d526e47658b6,,4
CVE-2017-13003,0,4,,,,4
CVE-2017-13004,0,0,,480af1cdceda;e2982e7f6f0b;3712d818767d;57be4eb7ed49,,4
CVE-2017-13005,3,0,,224629731a82,,4
CVE-2017-13006,0,0,,577621026df8;cfa9ab5f80dd;e2982e7f6f0b;ee68aa36460d,,4
CVE-2017-13009,0,4,,,,4
CVE-2017-13011,2,0,,,,2
CVE-2017-13012,0,4,,,,4
CVE-2017-13013,0,4,,,,4
CVE-2017-13014,3,1,,,,4
CVE-2017-13015,0,4,,,,4
CVE-2017-13016,0,0,,228f225ca02d;306c2a0384af;1dbc62cb8386;e2982e7f6f0b,,4
CVE-2017-13017,0,0,,ee68aa36460d;3e3e6d2ef4c1;40ae3ad744d9;f6a0369dfc99,,4
CVE-2017-13018,0,0,,57caa8d3383f;a95802aa0d87;51e180c4fb05;e2982e7f6f0b,,4
CVE-2017-13019,0,4,,,,4
CVE-2017-13020,0,0,,abc8c2d61c65;3e3e6d2ef4c1;57ff158eb0b5;40ae3ad744d9,,4
CVE-2017-13021,0,0,,6e15ad4b9938;01c04c916b3d;e2982e7f6f0b;98440166f7d7,,4
CVE-2017-13022,4,0,,,,4
CVE-2017-13023,0,0,,e2982e7f6f0b;1a90fd99d279;f68c3e3ec011;abc8c2d61c65,,4
CVE-2017-13024,0,0,,abc8c2d61c65;f68c3e3ec011;e2982e7f6f0b;1a90fd99d279,,4
CVE-2017-13025,0,0,,1a90fd99d279;abc8c2d61c65;f68c3e3ec011;e2982e7f6f0b,,4
CVE-2017-13026,0,0,,0fa0692de376;2f6c71013128;51e180c4fb05;e2982e7f6f0b,,4
CVE-2017-13028,0,0,,2a1c7a3975cd;ea0d29f7436f;306c2a0384af;3e3e6d2ef4c1,,4
CVE-2017-13029,0,4,,,,4
CVE-2017-13030,4,0,,,,4
CVE-2017-13031,0,4,,,,4
CVE-2017-13032,0,0,,ba8936b39b0c;03a2d9c4c1e3;e2982e7f6f0b;5cea2703185c,,4
CVE-2017-13033,0,0,,3c8f3e13b033;40ae3ad744d9;3e3e6d2ef4c1;577621026df8,,4
CVE-2017-13034,0,4,,,,4
CVE-2017-13035,0,3,,,,3
CVE-2017-13036,0,0,,6e15ad4b9938;e2982e7f6f0b;ee68aa36460d;5791511faa59,,4
CVE-2017-13037,4,0,,,,4
CVE-2017-13038,0,0,,f9dbcc961527;ee68aa36460d;3c8f3e13b033;e2982e7f6f0b,,4
CVE-2017-13039,4,0,,,,4
CVE-2017-13040,0,0,,1c75daed55fc;3ebae8948826;bf8990f63b15;afb52045ddc8,,4
CVE-2017-13041,0,0,,00b189d27cd2;0cced4fcdcad;e2982e7f6f0b;180fae3dc2cd,,4
CVE-2017-13043,0,4,,,,4
CVE-2017-13045,0,4,,,,4
CVE-2017-13046,0,0,,3b8ff4bf0d8f;abc8c2d61c65;f9c2c905b118;e2982e7f6f0b,,4
CVE-2017-13047,0,0,,e2982e7f6f0b;228f225ca02d;d526e47658b6;74d0778d0ce7,,4
CVE-2017-13048,0,0,,b5068d5380c7;577621026df8;e2982e7f6f0b;07cb281e4ed5,,4
CVE-2017-13049,0,0,,3c8f3e13b033;ee68aa36460d;e2982e7f6f0b;5cea2703185c,,4
CVE-2017-13050,0,0,,577621026df8;3e3e6d2ef4c1;3ed92cd021a6;abc8c2d61c65,,4
CVE-2017-13051,0,4,,,,4
CVE-2017-13052,0,0,,4a28df231d46;e10fe19f4578;e2982e7f6f0b;b1e5f800b368,,4
CVE-2017-13053,0,4,,,,4
CVE-2017-13687,0,0,,e2982e7f6f0b;5e9a51fdd559;84ef17ac0eec;40ae3ad744d9,,4
CVE-2017-13688,0,4,,,,4
CVE-2017-13689,4,0,,,,4
CVE-2017-13690,0,4,,,,4
CVE-2017-13725,0,0,,ee68aa36460d;7ae157995426;e2982e7f6f0b;7755951df76e,,4
