cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2012-5134,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2013-0338,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2013-0339,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.2-rc1;2.9.2-rc2;2.9.2,,6
CVE-2013-1969,1,1,0,0,3,1.0000,0.2500,0.4000,0,,2.9.1;2.9.2-rc1;2.9.2-rc2,,4
CVE-2014-3660,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.3;2.9.4;2.9.5-rc1,,6
CVE-2015-5312,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.4;2.9.5-rc1;2.9.5-rc2,,6
CVE-2015-7497,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-7498,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.3;2.9.4;2.9.5-rc1,,6
CVE-2015-7499,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.4;2.9.5-rc1;2.9.5-rc2,,6
CVE-2015-7500,4,3,1,0,2,1.0000,0.6000,0.7500,0,,2.9.5-rc1;2.9.5-rc2,,6
CVE-2015-7941,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2015-8241,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.3;2.9.4;2.9.5-rc1,,6
CVE-2015-8242,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-8317,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.3;2.9.4;2.9.5-rc1,,6
CVE-2015-8710,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-1762,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.4;2.9.5-rc1;2.9.5-rc2,,6
CVE-2016-1834,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.4;2.9.5-rc1;2.9.5-rc2,,6
CVE-2016-1837,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2016-1838,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-1840,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2016-4449,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2016-4483,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-4658,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2017-16931,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-16932,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2017-5130,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2017-7375,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2018-14404,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2019-19956,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.10-rc1;2.9.10,,5
CVE-2020-7595,1,1,0,0,3,1.0000,0.2500,0.4000,0,,2.9.11;2.9.12;2.9.13,,4
CVE-2022-23308,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.9.13;2.9.14;2.10.0,,6
CVE-2022-29824,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2022-40303,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2022-40304,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2023-28484,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.11.0;2.11.1;2.11.2,,6
