cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2021-4044,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2022-1343,5,3,2,0,0,1.0000,1.0000,1.0000,0,,,,5
CVE-2022-1473,5,3,2,0,0,1.0000,1.0000,1.0000,0,,,,5
CVE-2022-2274,2,1,1,0,0,1.0000,1.0000,1.0000,0,,,OpenSSL_1_1_1r,3
CVE-2022-3358,5,3,2,0,0,1.0000,1.0000,1.0000,0,,,OpenSSL_1_1_1r,6
CVE-2022-3602,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2022-3786,4,3,1,0,2,1.0000,0.6000,0.7500,0,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1,,6
CVE-2022-3996,5,3,2,0,0,1.0000,1.0000,1.0000,0,,,OpenSSL_1_1_1t,6
CVE-2022-4203,5,3,2,0,1,1.0000,0.7500,0.8571,0,,,,5
CVE-2023-0215,4,1,3,0,0,1.0000,1.0000,1.0000,2,,,,6
CVE-2023-0216,2,0,2,0,0,0.0000,0.0000,0.0000,3,,,OpenSSL_1_1_1t,6
CVE-2023-0401,4,3,1,0,0,1.0000,1.0000,1.0000,0,,,,4
CVE-2023-2650,3,1,2,0,0,1.0000,1.0000,1.0000,3,,,,6
CVE-2023-2975,5,3,2,0,0,1.0000,1.0000,1.0000,0,,,,5
CVE-2023-5678,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2024-0727,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
