cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2020-20446,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.2;4.1.7;3.4.9;4.2.5,4
CVE-2020-20448,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2020-20453,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2020-20896,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.9;4.2.6;4.3,,4
CVE-2020-20898,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2020-21697,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2020-22015,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.2;4.1.7;3.4.9;4.2.5,4
CVE-2020-22017,2,0,2,0,0,0.0000,0.0000,0.0000,1,,,,3
CVE-2020-22019,4,1,3,0,0,1.0000,1.0000,1.0000,0,,,,4
CVE-2020-22020,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.7;4.3,,4
CVE-2020-22021,2,2,0,0,0,1.0000,1.0000,1.0000,3,,,,5
CVE-2020-22022,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.7;4.3,,4
CVE-2020-22023,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.7;4.3,,4
CVE-2020-22024,0,0,0,0,0,0.0000,0.0000,0.0000,2,,,,2
CVE-2020-22026,2,2,0,0,3,1.0000,0.4000,0.5714,0,,4.1.8;4.2.7;4.3,,5
CVE-2020-22027,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.6;4.3,,4
CVE-2020-22029,1,1,0,0,2,1.0000,0.3333,0.5000,0,,4.1.8;4.3,,3
CVE-2020-22030,1,1,0,0,2,1.0000,0.3333,0.5000,0,,4.1.8;4.3,,3
CVE-2020-22031,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.7;4.3,,4
CVE-2020-22034,2,2,0,0,3,1.0000,0.4000,0.5714,0,,4.1.8;4.3;4.1.8,,5
CVE-2020-22035,2,2,0,0,3,1.0000,0.4000,0.5714,0,,4.1.8;4.3;4.1.8,,5
CVE-2020-22036,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.8;4.2.7;4.3,,4
CVE-2020-22037,0,0,0,0,3,0.0000,0.0000,0.0000,1,,4.1.7;3.4.9;4.2.5,,4
CVE-2020-22038,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2020-22039,1,1,0,0,0,1.0000,1.0000,1.0000,1,,,,2
CVE-2020-22041,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.1.10;4.2.7;4.3,,4
CVE-2020-22042,3,1,2,0,0,1.0000,1.0000,1.0000,0,,,,3
CVE-2020-22043,2,2,0,0,0,1.0000,1.0000,1.0000,2,,,,4
CVE-2020-22046,2,2,0,0,0,1.0000,1.0000,1.0000,3,,,,5
CVE-2020-22048,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.4.11;4.1.10;4.2.7,,4
CVE-2020-23906,1,1,0,0,3,1.0000,0.2500,0.4000,0,,4.2.5;4.3.1;4.4,,4
CVE-2020-24020,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.2.3;4.4;4.2.3;4.4;4.2.3;4.4,6
CVE-2020-35965,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.2.5;4.3.2;4.4,,6
CVE-2021-38291,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2022-1475,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.4.2;5.0.1;5.1,,6
