cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2009-0946,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2010-2497,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6
CVE-2010-2498,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6
CVE-2010-2499,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6
CVE-2010-2500,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2010-2519,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6
CVE-2010-2520,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6
CVE-2010-2805,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2010-2806,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2010-2808,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.4.1;2.4.0;2.3.12;2.4.3;2.4.4;2.4.5,6
CVE-2010-3814,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.4.3;2.4.2;2.4.1;2.4.4;2.4.5;2.4.6,6
CVE-2010-3855,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2012-5668,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.4.11;2.4.12;2.5.0-1,,6
CVE-2012-5669,5,2,3,0,0,1.0000,1.0000,1.0000,1,,,,6
CVE-2012-5670,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.4.11;2.4.12;2.5.0-1,,6
CVE-2014-2241,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.3;2.5.4;2.5.5,,6
CVE-2014-9656,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9657,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9658,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9659,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9660,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9661,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9662,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2014-9663,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9664,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9665,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9666,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6
CVE-2014-9667,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9668,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6
CVE-2014-9669,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2014-9670,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.4;2.5.5;2.6,,6
CVE-2014-9671,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6
CVE-2014-9673,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6
CVE-2014-9674,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6
CVE-2014-9745,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.5.3;2.5.4;2.5.5,,6
CVE-2014-9746,3,0,3,3,0,0.0000,0.0000,0.0000,0,2.5.3;2.5.2;2.5.1,,,6
CVE-2015-9290,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.5;2.5.4;2.5.3;2.6.1;2.6.2;2.6.3,6
CVE-2015-9381,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.5.5;2.5.4;2.5.3;2.6.1;2.6.2;2.6.3,6
CVE-2015-9382,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.6.1;2.6.2;2.6.3,,6
CVE-2015-9383,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-10328,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.7.1;2.8;2.8.1,,6
CVE-2017-7857,2,2,0,0,3,1.0000,0.4000,0.5714,0,,2.8;2.8.1;2.9,,5
CVE-2017-7858,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-7864,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-8105,3,3,0,0,2,1.0000,0.6000,0.7500,0,,2.8;2.8.1,2.9,6
CVE-2017-8287,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
