cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2015-8895,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-8896,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-8900,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-8958,3,0,3,0,0,0.0000,0.0000,0.0000,0,,,,3
CVE-2016-10060,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.0.11-0;7.0.11-1;7.0.11-2,,6
CVE-2016-10065,3,0,3,0,0,0.0000,0.0000,0.0000,0,,,,3
CVE-2016-5689,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-5690,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-5691,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-6491,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.0.2-6;7.0.2-7;7.0.2-8,,6
CVE-2016-7101,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-7514,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,,3
CVE-2016-7515,3,0,3,0,0,0.0000,0.0000,0.0000,0,,,,3
CVE-2016-7534,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,,3
CVE-2016-9556,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-11523,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-14174,3,0,3,2,0,0.0000,0.0000,0.0000,0,7.0.7-0;7.0.7-0,,,5
CVE-2017-15032,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-15033,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-15277,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-9098,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-9499,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2018-16643,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2018-16644,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2018-16645,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2018-20467,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2019-10714,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-11470,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,,3
CVE-2019-11472,3,0,3,0,0,0.0000,0.0000,0.0000,0,,,,3
CVE-2019-12974,2,2,0,0,3,1.0000,0.4000,0.5714,0,,7.0.8-35;7.0.8-36;7.0.8-37,,5
CVE-2019-12975,4,1,3,0,0,1.0000,1.0000,1.0000,0,,,,4
CVE-2019-12976,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2019-12978,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2019-12979,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2019-13133,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-13134,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-13137,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2019-13307,0,0,0,0,3,0.0000,0.0000,0.0000,0,,7.0.8-50;7.0.8-51;7.0.8-53,,3
CVE-2019-14981,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2019-15139,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,,3
CVE-2019-16711,2,2,0,0,3,1.0000,0.4000,0.5714,0,,7.0.8-41;7.0.8-42;7.0.8-43,,5
CVE-2019-17547,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2019-18853,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2019-19949,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,7.0.8-42;7.0.8-41;7.0.8-40;7.0.8-43;7.0.8-44,5
