cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2017-12894,2,0,2,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-12898,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12902,4,3,1,0,2,1.0000,0.6000,0.7500,0,,4.99.0-bp;4.99-bp,,6
CVE-2017-12990,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-13003,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13006,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13013,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13037,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13039,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2017-13040,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2017-13050,5,3,2,0,1,1.0000,0.7500,0.8571,0,,4.9.3,,6
CVE-2017-13687,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14882,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2018-16300,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
