CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2013-0249,0,2,,,7.32.0,3
CVE-2013-1944,1,3,,7.30.0;7.31.0;7.32.0,,4
CVE-2014-0015,0,6,,,,6
CVE-2016-8617,6,0,,,,6
CVE-2016-8618,3,3,,7.51.0;7.52.0;7.52.1,,6
CVE-2016-8621,6,0,,,,6
CVE-2016-8623,0,6,,,,6
CVE-2016-8624,6,0,,,,6
CVE-2016-8625,6,0,,,,6
CVE-2016-9586,3,3,,7.52.0;7.52.1;7.53.0,,6
CVE-2016-9594,3,1,,,7.51.0;7.50.3,6
CVE-2017-1000101,3,3,,7.55.1;7.56.0;7.56.1,,6
CVE-2017-2629,0,6,,,,6
CVE-2017-7407,1,3,,7.54.0;7.54.1;7.55.0,,4
CVE-2017-8816,2,4,,,,6
CVE-2017-8817,3,3,,7.57.0;7.58.0;7.59.0,,6
CVE-2017-8818,3,2,7.56.1;7.56.0,,,5
CVE-2017-9502,6,0,,,,6
CVE-2018-0500,4,2,,7.61.1;7.62.0,,6
CVE-2018-1000007,6,0,,,,6
CVE-2018-1000120,0,6,,,,6
CVE-2018-1000122,0,6,,,,6
CVE-2018-1000300,6,0,,,,6
CVE-2018-1000301,1,5,,,,6
CVE-2018-16839,0,6,,,,6
CVE-2018-16840,5,1,7.61.1,,,6
CVE-2018-16842,3,3,,7.62.0;7.63.0;7.64.0,,6
CVE-2019-5482,3,3,,,,6
CVE-2020-8169,6,0,,,,6
CVE-2020-8177,3,3,7.70.0;7.69.1;7.69.0,,,6
CVE-2020-8284,0,6,,,,6
CVE-2021-22898,0,6,,,,6
CVE-2022-42915,3,3,,,,6
CVE-2022-42916,6,0,,,,6
CVE-2023-46218,3,3,,,,6
CVE-2023-46219,6,0,,,,6
CVE-2019-5435,0,6,,,,6
