cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2017-15024,4,3,1,0,2,1.0000,0.6000,0.7500,0,,2.31,,5
CVE-2017-16828,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-17080,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-8398,5,2,3,0,0,1.0000,1.0000,1.0000,0,,,,5
CVE-2017-9955,3,0,3,2,0,0.0000,0.0000,0.0000,0,2.28;2.28,,,5
CVE-2018-1000876,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2018-7569,3,0,3,0,0,0.0000,0.0000,0.0000,2,,,,5
CVE-2018-7643,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2021-45078,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.38;2.39;2.40,,6
CVE-2022-38533,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
