cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2015-8895,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2015-8896,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-10060,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.0.11-0;7.0.11-1;7.0.11-2,,6
CVE-2016-10065,3,0,3,0,0,0.0000,0.0000,0.0000,0,,,,3
CVE-2016-7534,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,,3
CVE-2017-14174,3,0,3,2,0,0.0000,0.0000,0.0000,0,7.0.7-0;7.0.7-0,,,5
CVE-2020-25675,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2020-25676,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2020-27769,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2021-20311,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2021-20312,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2021-20313,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2023-34153,4,1,3,2,0,0.3333,1.0000,0.5000,0,7.1.0-1;7.1.0-2,,,6
