CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2020-20446,0,4,,,,4
CVE-2020-20448,0,5,,,,5
CVE-2020-20453,0,4,,,,4
CVE-2020-20896,1,3,,4.1.9;4.2.6;4.3,,4
CVE-2020-20898,0,6,,,,6
CVE-2020-21697,3,2,,4.3.3;4.3.3,,5
CVE-2020-22015,1,1,,,4.1.7;3.4.9,4
CVE-2020-22017,0,3,,,,3
CVE-2020-22019,4,0,,,,4
CVE-2020-22020,1,3,,4.1.8;4.2.7;4.3,,4
CVE-2020-22021,0,5,,,,5
CVE-2020-22022,1,3,,4.1.8;4.2.7;4.3,,4
CVE-2020-22023,1,3,,4.1.8;4.2.7;4.3,,4
CVE-2020-22024,2,0,,,,2
CVE-2020-22026,2,3,,4.1.8;4.2.7;4.3,,5
CVE-2020-22027,1,3,,4.1.8;4.2.6;4.3,,4
CVE-2020-22029,1,2,,4.1.8;4.3,,3
CVE-2020-22030,1,2,,4.1.8;4.3,,3
CVE-2020-22031,1,3,,4.1.8;4.2.7;4.3,,4
CVE-2020-22034,2,3,,4.1.8;4.3;4.1.8,,5
CVE-2020-22035,2,3,,4.1.8;4.3;4.1.8,,5
CVE-2020-22036,1,3,,4.1.8;4.2.7;4.3,,4
CVE-2020-22037,3,1,,,,4
CVE-2020-22038,6,0,,,,6
CVE-2020-22039,1,1,,4.3,,2
CVE-2020-22041,1,3,,4.1.10;4.2.7;4.3,,4
CVE-2020-22042,2,1,,4.3.3,,3
CVE-2020-22043,2,2,,4.3;4.3,,4
CVE-2020-22046,0,5,,4.1.10,,4
CVE-2020-22048,1,3,,3.4.11;4.1.10;4.2.7,,4
CVE-2020-23906,1,3,,4.2.5;4.3.1;4.4,,4
CVE-2020-24020,0,3,,,4.4;4.4;4.4,6
CVE-2020-35965,3,3,,4.2.5;4.3.2;4.4,,6
CVE-2021-38291,3,3,,4.1.7;3.4.9;3.2.16,,6
CVE-2022-1475,4,2,,4.4.2;5.1,,6
