CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2009-0946,0,6,,,,6
CVE-2010-2497,3,3,,,,6
CVE-2010-2498,0,6,,,,6
CVE-2010-2499,0,6,,,,6
CVE-2010-2500,0,6,,,,6
CVE-2010-2519,3,3,,2.4.0;2.4.1;2.4.2,,6
CVE-2010-2520,0,6,,,,6
CVE-2010-2805,6,0,,,,6
CVE-2010-2806,0,6,,,,6
CVE-2010-2808,3,3,2.4.1;2.4.0;2.3.12,,,6
CVE-2010-3814,3,3,,2.4.4;2.4.5;2.4.6,,6
CVE-2010-3855,0,6,,,,6
CVE-2012-5668,3,3,,2.4.11;2.4.12;2.5.0-1,,6
CVE-2012-5669,5,1,,,,6
CVE-2012-5670,3,3,,2.4.11;2.4.12;2.5.0-1,,6
CVE-2014-2241,3,3,,2.5.3;2.5.4;2.5.5,,6
CVE-2014-9656,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9657,0,6,,,,6
CVE-2014-9658,0,6,,,,6
CVE-2014-9659,3,3,,,,6
CVE-2014-9660,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9661,0,6,,,,6
CVE-2014-9662,3,3,2.5.3;2.5.2;2.5.1,,,6
CVE-2014-9663,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9664,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9665,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9666,0,6,,,,6
CVE-2014-9667,6,0,,,,6
CVE-2014-9668,0,6,,,,6
CVE-2014-9670,3,3,,2.5.4;2.5.5;2.6,,6
CVE-2014-9671,0,6,,,,6
CVE-2014-9673,3,3,2.5.3;2.5.2;2.5.1,,,6
CVE-2014-9674,3,3,2.5.3;2.5.2;2.5.1,,,6
CVE-2014-9745,3,3,,2.5.3;2.5.4;2.5.5,,6
CVE-2015-9290,3,3,2.5.5;2.5.4;2.5.3,,,6
CVE-2015-9381,6,0,,,,6
CVE-2015-9382,3,3,,2.6.1;2.6.2;2.6.3,,6
CVE-2015-9383,0,6,,,,6
CVE-2016-10328,3,3,,2.7.1;2.8;2.8.1,,6
CVE-2017-7857,2,3,,2.8;2.8.1;2.9,,5
CVE-2017-7858,0,6,,,,6
CVE-2017-7864,0,6,,,,6
CVE-2017-8105,3,2,,2.8;2.8.1,2.9,6
CVE-2017-8287,6,0,,,,6
