cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2013-0249,0,0,0,0,0,0.0000,0.0000,0.0000,2,,,7.32.0,3
CVE-2013-1944,1,1,0,0,3,1.0000,0.2500,0.4000,0,,7.30.0;7.31.0;7.32.0,,4
CVE-2014-0015,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-8617,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2016-8618,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.51.0;7.52.0;7.52.1,,6
CVE-2016-8621,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2016-8623,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2016-8624,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2016-8625,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2016-9586,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.52.0;7.52.1;7.53.0,,6
CVE-2016-9594,3,0,3,0,0,0.0000,0.0000,0.0000,1,,,7.51.0;7.50.3,6
CVE-2017-1000101,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.55.1;7.56.0;7.56.1,,6
CVE-2017-2629,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-7407,1,1,0,0,3,1.0000,0.2500,0.4000,0,,7.54.0;7.54.1;7.55.0,,4
CVE-2017-8816,2,2,0,0,0,1.0000,1.0000,1.0000,4,,,,6
CVE-2017-8817,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.57.0;7.58.0;7.59.0,,6
CVE-2017-8818,3,0,3,2,0,0.0000,0.0000,0.0000,0,7.56.1;7.56.0,,,5
CVE-2017-9502,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2018-0500,4,3,1,0,2,1.0000,0.6000,0.7500,0,,7.61.1;7.62.0,,6
CVE-2018-1000007,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2018-1000120,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2018-1000122,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2018-1000300,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2018-1000301,1,0,1,0,0,0.0000,0.0000,0.0000,5,,,,6
CVE-2018-16839,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2018-16840,5,2,3,1,0,0.6667,1.0000,0.8000,0,7.61.1,,,6
CVE-2018-16842,3,3,0,0,3,1.0000,0.5000,0.6667,0,,7.62.0;7.63.0;7.64.0,,6
CVE-2019-5482,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2020-8169,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2020-8177,3,0,3,3,0,0.0000,0.0000,0.0000,0,7.70.0;7.69.1;7.69.0,,,6
CVE-2020-8284,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2021-22898,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2022-42915,3,3,0,0,0,1.0000,1.0000,1.0000,3,,,,6
CVE-2022-42916,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2023-46218,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2023-46219,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2019-5435,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
