cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2015-8871,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.1.1;2.1.2;2.2.0,,6
CVE-2016-10504,2,2,0,0,0,1.0000,1.0000,1.0000,3,,,2.0,6
CVE-2016-10506,3,3,0,0,3,1.0000,0.5000,0.6667,0,,2.2.0;2.3.0;2.3.1,,6
CVE-2016-4797,0,0,0,0,0,0.0000,0.0000,0.0000,3,,,2.0;2.1;2.0.1,6
CVE-2016-7163,3,0,3,3,0,0.0000,0.0000,0.0000,0,2.1.2;2.1.1;2.0,,,6
CVE-2017-14039,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-14151,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-14152,3,0,3,0,0,0.0000,0.0000,0.0000,1,,,,4
CVE-2017-14164,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2018-20847,5,3,2,0,0,1.0000,1.0000,1.0000,1,,,,6
