CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2021-4044,0,6,,,,6
CVE-2022-1343,4,0,,,openssl-3.0.5,5
CVE-2022-1473,5,0,,,,5
CVE-2022-2274,2,0,,,OpenSSL_1_1_1r,3
CVE-2022-3358,4,0,,,OpenSSL_1_1_1r;openssl-3.0.7,6
CVE-2022-3602,0,4,,,openssl-3.1.0-beta1;openssl-3.0.8,6
CVE-2022-3786,3,1,,openssl-3.1.0-alpha1,openssl-3.1.0-beta1;openssl-3.0.8,6
CVE-2022-3996,4,0,,,openssl-3.0.8;OpenSSL_1_1_1t,6
CVE-2022-4203,5,1,,,,5
CVE-2023-0215,4,2,,,,6
CVE-2023-0216,2,3,,,OpenSSL_1_1_1t,6
CVE-2023-2650,3,3,,,,6
CVE-2023-2975,5,0,,,,5
CVE-2023-5678,1,0,,,openssl-3.0.12;openssl-3.1.4;openssl-3.2.0;openssl-3.1.5;openssl-3.2.1,6
CVE-2024-0727,6,0,,,,6
CVE-2023-0401,0,6,,,,6
