CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2016-6153,3,2,,,,5
CVE-2018-20346,6,0,,,,6
CVE-2019-19242,3,2,,,,5
CVE-2019-19244,1,3,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19317,0,4,,,,4
CVE-2019-19645,3,3,,,,6
CVE-2019-19646,3,3,,3.31.0;3.31.1;3.32.0,,6
CVE-2019-19880,1,3,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19923,1,3,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19924,3,3,,,,6
CVE-2019-19925,4,0,,,,4
CVE-2019-19926,1,3,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19959,0,5,,,,5
CVE-2019-20218,0,4,,,,4
CVE-2019-8457,3,3,,3.28.0;3.29.0;3.30.0,,6
CVE-2020-11655,3,3,,3.32.0;3.32.1;3.32.2,,6
CVE-2020-11656,6,0,,,,6
CVE-2020-13434,3,3,,3.32.1;3.32.2;3.32.3,,6
CVE-2020-13630,3,3,,,,6
CVE-2020-13632,3,3,,,,6
CVE-2020-15358,3,3,,,,6
CVE-2020-35525,1,3,,3.32.0;3.32.1;3.32.2,,4
CVE-2020-35527,0,4,,,,4
CVE-2021-31239,0,4,,,,4
CVE-2021-36690,4,0,,,,4
CVE-2022-46908,3,3,,3.40.1;3.41.0;3.41.1,,6
