cve,project,commit,func,score,label,stage,binary
CVE-2016-10506,openjpeg,2d606701e8b7,opj_pi_next_cprl,-0.211,V,1,/binaries/PatchEvolution/openjpeg/CVE-2016-10506-2d606701e8b7-openjpeg
CVE-2017-14164,openjpeg,4e5501b3c72a,opj_j2k_write_all_tile_parts,0.485,P,2,/binaries/PatchEvolution/openjpeg/CVE-2017-14164-4e5501b3c72a-openjpeg
CVE-2017-14164,openjpeg,c28965f255c7,opj_j2k_write_all_tile_parts,0.519,P,3,/binaries/PatchEvolution/openjpeg/CVE-2017-14164-c28965f255c7-openjpeg
CVE-2017-14164,openjpeg,4f447c6e1844,opj_j2k_write_all_tile_parts,0.516,P,4,/binaries/PatchEvolution/openjpeg/CVE-2017-14164-4f447c6e1844-openjpeg
CVE-2017-14164,openjpeg,5dd75f62e20e,opj_j2k_write_all_tile_parts,0.516,P,1,/binaries/PatchEvolution/openjpeg/CVE-2017-14164-5dd75f62e20e-openjpeg
CVE-2014-3572,openssl,61e72d761c94,ssl3_get_key_exchange,0.927,P,3,/binaries/PatchEvolution/openssl/CVE-2014-3572-61e72d761c94-openssl
CVE-2014-3572,openssl,7689082b7199,ssl3_get_key_exchange,0.927,P,4,/binaries/PatchEvolution/openssl/CVE-2014-3572-7689082b7199-openssl
CVE-2014-3572,openssl,0f113f3ee4d6,ssl3_get_key_exchange,0.93,P,1,/binaries/PatchEvolution/openssl/CVE-2014-3572-0f113f3ee4d6-openssl
CVE-2014-3572,openssl,75ebbd9aa411,ssl3_get_key_exchange,0.932,P,2,/binaries/PatchEvolution/openssl/CVE-2014-3572-75ebbd9aa411-openssl
CVE-2015-0206,openssl,9e9858d1cf28,dtls1_buffer_record,0.445,P,1,/binaries/PatchEvolution/openssl/CVE-2015-0206-9e9858d1cf28-openssl
CVE-2015-0206,openssl,c103c7e26614,dtls1_buffer_record,0.13,P,3,/binaries/PatchEvolution/openssl/CVE-2015-0206-c103c7e26614-openssl
CVE-2015-0206,openssl,17dd65e6e1f8,dtls1_buffer_record,0.445,P,4,/binaries/PatchEvolution/openssl/CVE-2015-0206-17dd65e6e1f8-openssl
CVE-2015-0206,openssl,258f8721a5d2,dtls1_buffer_record,0.446,P,2,/binaries/PatchEvolution/openssl/CVE-2015-0206-258f8721a5d2-openssl
CVE-2015-1789,openssl,fecb3aae22ae,X509_cmp_time,0.19,P,3,/binaries/PatchEvolution/openssl/CVE-2015-1789-fecb3aae22ae-openssl
CVE-2015-1789,openssl,5811387bac39,X509_cmp_time,0.19,P,4,/binaries/PatchEvolution/openssl/CVE-2015-1789-5811387bac39-openssl
CVE-2015-1789,openssl,cccf532fef10,X509_cmp_time,0.19,P,2,/binaries/PatchEvolution/openssl/CVE-2015-1789-cccf532fef10-openssl
CVE-2016-2109,openssl,e077455e9e57,asn1_d2i_read_bio,-0.451,V,3,/binaries/PatchEvolution/openssl/CVE-2016-2109-e077455e9e57-libcrypto
CVE-2016-2109,openssl,9311d0c471ca,asn1_d2i_read_bio,0.942,P,1,/binaries/PatchEvolution/openssl/CVE-2016-2109-9311d0c471ca-libcrypto
CVE-2016-2109,openssl,3e73111d133d,asn1_d2i_read_bio,-0.451,V,2,/binaries/PatchEvolution/openssl/CVE-2016-2109-3e73111d133d-libcrypto
CVE-2016-2109,openssl,afecd85db135,asn1_d2i_read_bio,-0.451,V,4,/binaries/PatchEvolution/openssl/CVE-2016-2109-afecd85db135-libcrypto
CVE-2016-10065,imagemagick,54ce5d9f4025,ImportGrayQuantum,0.501,P,3,/binaries/PatchEvolution/imagemagick/CVE-2016-10065-54ce5d9f4025-magickcore
CVE-2016-10065,imagemagick,fe3066122ef7,ImportGrayQuantum,0.437,P,2,/binaries/PatchEvolution/imagemagick/CVE-2016-10065-fe3066122ef7-magickcore
CVE-2016-10065,imagemagick,f9e7a09d8c2a,ImportGrayQuantum,0.501,P,1,/binaries/PatchEvolution/imagemagick/CVE-2016-10065-f9e7a09d8c2a-magickcore
CVE-2016-10065,imagemagick,79e5c00f636f,ImportGrayQuantum,0.437,P,4,/binaries/PatchEvolution/imagemagick/CVE-2016-10065-79e5c00f636f-magickcore
CVE-2017-14174,imagemagick,1f88c4827809,ReadPSDLayersInternal,-0.316,V,1,/binaries/PatchEvolution/imagemagick/CVE-2017-14174-1f88c4827809-magickcore
CVE-2017-14174,imagemagick,d90c06fef6df,ReadPSDLayersInternal,0.233,P,3,/binaries/PatchEvolution/imagemagick/CVE-2017-14174-d90c06fef6df-magickcore
CVE-2017-14174,imagemagick,ae12904cc151,ReadPSDLayersInternal,0.738,P,2,/binaries/PatchEvolution/imagemagick/CVE-2017-14174-ae12904cc151-magickcore
CVE-2017-14174,imagemagick,63cfa542ab3d,ReadPSDLayersInternal,0.233,P,4,/binaries/PatchEvolution/imagemagick/CVE-2017-14174-63cfa542ab3d-magickcore
CVE-2017-12896,tcpdump,4dee61760d29,isakmp_rfc3948_print,0.904,P,1,/binaries/PatchEvolution/tcpdump/CVE-2017-12896-4dee61760d29-tcpdump
CVE-2017-12896,tcpdump,e2982e7f6f0b,isakmp_rfc3948_print,0.948,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-12896-e2982e7f6f0b-tcpdump
CVE-2017-12896,tcpdump,6288c273b66f,isakmp_rfc3948_print,-0.537,V,2,/binaries/PatchEvolution/tcpdump/CVE-2017-12896-6288c273b66f-tcpdump
CVE-2017-12896,tcpdump,ee68aa36460d,isakmp_rfc3948_print,0.904,P,3,/binaries/PatchEvolution/tcpdump/CVE-2017-12896-ee68aa36460d-tcpdump
CVE-2017-12992,tcpdump,ff2bbd6ffe2b,ripng_print,0.228,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-12992-ff2bbd6ffe2b-tcpdump
CVE-2017-12992,tcpdump,57b0a999a9fa,ripng_print,0.428,P,1,/binaries/PatchEvolution/tcpdump/CVE-2017-12992-57b0a999a9fa-tcpdump
CVE-2017-12992,tcpdump,59d37c7ec5a7,ripng_print,0.94,P,2,/binaries/PatchEvolution/tcpdump/CVE-2017-12992-59d37c7ec5a7-tcpdump
CVE-2017-12992,tcpdump,efc775d05163,ripng_print,0.94,P,3,/binaries/PatchEvolution/tcpdump/CVE-2017-12992-efc775d05163-tcpdump
CVE-2017-12995,tcpdump,3e3e6d2ef4c1,ns_nprint,0.747,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-12995-3e3e6d2ef4c1-tcpdump
CVE-2017-13002,tcpdump,8186bd1a7693,aodv_extension,0.575,P,3,/binaries/PatchEvolution/tcpdump/CVE-2017-13002-8186bd1a7693-tcpdump
CVE-2017-13002,tcpdump,ef5323efe6c0,aodv_extension,-0.085,V,1,/binaries/PatchEvolution/tcpdump/CVE-2017-13002-ef5323efe6c0-tcpdump
CVE-2017-13002,tcpdump,e2982e7f6f0b,aodv_extension,0.575,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-13002-e2982e7f6f0b-tcpdump
CVE-2017-13002,tcpdump,d526e47658b6,aodv_extension,0.575,P,2,/binaries/PatchEvolution/tcpdump/CVE-2017-13002-d526e47658b6-tcpdump
CVE-2017-13003,tcpdump,577621026df8,lmp_print,0.674,P,1,/binaries/PatchEvolution/tcpdump/CVE-2017-13003-577621026df8-tcpdump
CVE-2017-13003,tcpdump,84ef17ac0eec,lmp_print,0.674,P,3,/binaries/PatchEvolution/tcpdump/CVE-2017-13003-84ef17ac0eec-tcpdump
CVE-2017-13003,tcpdump,e2982e7f6f0b,lmp_print,0.567,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-13003-e2982e7f6f0b-tcpdump
