CVE,succeed,target
CVE-2014-8484,0,4
CVE-2014-8485,0,4
CVE-2014-8738,0,4
CVE-2017-12448,6,6
CVE-2017-12799,0,4
CVE-2017-12967,0,4
CVE-2017-13710,4,4
CVE-2017-13757,0,4
CVE-2017-14128,0,4
CVE-2017-14129,3,4
CVE-2017-14130,0,4
CVE-2017-14529,0,4
CVE-2017-14729,0,4
CVE-2017-14745,0,4
CVE-2017-14930,0,4
CVE-2017-14932,0,4
CVE-2017-14933,4,4
CVE-2017-14934,0,4
CVE-2017-14938,0,4
CVE-2017-14939,0,4
CVE-2017-14940,0,4
CVE-2017-14974,0,4
CVE-2017-15020,3,4
CVE-2017-15021,0,4
CVE-2017-15022,0,4
CVE-2017-15023,4,4
CVE-2017-15024,0,4
CVE-2017-15025,0,4
CVE-2017-15225,0,4
CVE-2017-15938,0,4
CVE-2017-15939,0,4
CVE-2017-15996,0,4
CVE-2017-16828,0,4
CVE-2017-16829,0,4
CVE-2017-16830,0,4
CVE-2017-16831,3,4
CVE-2017-17080,0,4
CVE-2017-17122,0,4
CVE-2017-17124,0,4
CVE-2017-17126,0,4
CVE-2017-6965,0,4
CVE-2017-6966,0,4
CVE-2017-6969,0,4
CVE-2017-7209,0,4
CVE-2017-7210,0,0
CVE-2017-7299,0,4
CVE-2017-7303,0,4
CVE-2017-7304,0,4
CVE-2017-8392,0,4
CVE-2017-8394,0,4
CVE-2017-8395,4,4
CVE-2017-8396,0,4
CVE-2017-8397,0,4
CVE-2017-8398,0,4
CVE-2017-8421,0,4
CVE-2017-9038,0,4
CVE-2017-9039,0,4
CVE-2017-9040,0,4
CVE-2017-9043,0,4
CVE-2017-9954,1,4
CVE-2017-9955,0,4
CVE-2018-1000876,0,6
CVE-2018-10372,4,4
CVE-2018-10373,4,4
CVE-2018-10535,0,0
CVE-2018-17358,0,4
CVE-2018-17360,0,4
CVE-2018-18605,0,4
CVE-2018-18606,0,4
CVE-2018-18607,4,4
CVE-2018-19932,0,6
CVE-2018-20002,0,4
CVE-2018-20651,0,4
CVE-2018-20671,6,6
CVE-2018-6543,4,4
CVE-2018-6759,0,4
CVE-2018-6872,0,4
CVE-2018-7208,3,4
CVE-2018-7568,0,4
CVE-2018-7569,0,4
CVE-2018-7570,0,4
CVE-2018-7643,0,4
CVE-2018-8945,0,4
CVE-2019-17451,0,4
CVE-2020-16590,0,4
CVE-2020-16591,0,4
CVE-2020-16593,0,4
CVE-2020-16599,0,4
CVE-2020-19724,0,6
CVE-2020-35448,0,4
CVE-2021-20294,5,5
CVE-2021-45078,0,6
CVE-2022-38533,0,6
CVE-2022-48063,6,6
CVE-2022-48064,0,6
CVE-2022-48065,0,6
CVE-2023-1579,0,4
CVE-2023-25586,3,4
