project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
binutils,CVE-2017-8395,bfd_init_section_compress_status,4,4,0,0,
binutils,CVE-2017-8396,_bfd_final_link_relocate,4,4,0,0,
binutils,CVE-2017-8396,bfd_install_relocation,4,4,0,0,
binutils,CVE-2017-9954,pass_over,1,4,0,3,
binutils,CVE-2017-9954,getvalue,4,4,0,0,
binutils,CVE-2017-13710,setup_group,4,4,0,0,
binutils,CVE-2017-14129,read_section,3,4,1,0,
binutils,CVE-2017-12448,bfd_generic_archive_p,6,6,0,0,
binutils,CVE-2017-15024,scan_unit_for_symbols,3,4,1,0,
binutils,CVE-2017-15024,find_abstract_instance_name,2,4,1,0,/binaries/target/binutils/binutils-2.31-o0-objdump
binutils,CVE-2017-15020,parse_line_table,3,4,1,0,
binutils,CVE-2017-15020,parse_die,4,4,0,0,
binutils,CVE-2017-15023,read_formatted_entries,4,4,0,0,
binutils,CVE-2017-14933,read_formatted_entries,4,4,0,0,
binutils,CVE-2017-15938,find_abstract_instance_name,2,4,0,0,/binaries/target/binutils/binutils-2.31-o0-objdump;/binaries/target/binutils/binutils-2.31.1-o0-objdump
binutils,CVE-2017-15939,decode_line_info,3,4,1,0,
binutils,CVE-2017-15996,process_archive_index_and_symbols,4,4,0,0,
binutils,CVE-2017-16831,coff_get_normalized_symtab,3,4,1,0,
binutils,CVE-2017-16831,_bfd_coff_get_external_symbols,4,4,0,0,
binutils,CVE-2017-17080,elfcore_grok_nto_status,4,4,0,0,
binutils,CVE-2018-7208,coff_pointerize_aux,3,4,1,0,
binutils,CVE-2018-6543,load_specific_debug_section,4,4,0,0,
binutils,CVE-2018-6759,bfd_get_debug_link_info_1,4,4,0,0,
binutils,CVE-2018-10372,process_cu_tu_index,4,4,0,0,
binutils,CVE-2018-10373,concat_filename,4,4,0,0,
binutils,CVE-2018-8945,_bfd_elf_parse_attributes,3,4,1,0,
binutils,CVE-2018-18607,elf_link_input_bfd,4,4,0,0,
binutils,CVE-2018-20671,load_specific_debug_section,6,6,0,0,
binutils,CVE-2021-20294,print_dynamic_symbol,5,5,0,0,
binutils,CVE-2021-45078,stab_xcoff_builtin_type,6,6,0,0,
binutils,CVE-2023-25586,bfd_init_section_decompress_status,3,4,1,0,
binutils,CVE-2022-48063,load_specific_debug_section,6,6,0,0,
binutils,CVE-2022-48065,find_abstract_instance,3,6,3,0,
