CVE,succeed,target
CVE-2013-0249,0,3
CVE-2013-1944,4,4
CVE-2014-0015,3,6
CVE-2016-8617,0,6
CVE-2016-8618,3,6
CVE-2016-8621,6,6
CVE-2016-8623,0,6
CVE-2016-8624,3,6
CVE-2016-8625,0,6
CVE-2016-9586,0,6
CVE-2016-9594,3,6
CVE-2017-1000101,0,6
CVE-2017-2629,3,6
CVE-2017-7407,0,4
CVE-2017-8816,6,6
CVE-2017-8817,5,6
CVE-2017-8818,5,5
CVE-2017-9502,6,6
CVE-2018-0500,5,6
CVE-2018-1000007,0,6
CVE-2018-1000120,0,6
CVE-2018-1000122,0,6
CVE-2018-1000300,0,6
CVE-2018-1000301,6,6
CVE-2018-16839,3,6
CVE-2018-16840,0,6
CVE-2018-16842,0,6
CVE-2019-5435,0,6
CVE-2019-5482,6,6
CVE-2020-8169,0,6
CVE-2020-8177,0,6
CVE-2020-8284,0,6
CVE-2021-22898,0,6
CVE-2022-42915,0,6
CVE-2022-42916,0,6
CVE-2023-46218,0,6
CVE-2023-46219,3,6
