CVE,succeed,target
CVE-2020-20446,0,4
CVE-2020-20448,0,4
CVE-2020-20453,0,4
CVE-2020-20896,4,4
CVE-2020-20898,0,2
CVE-2020-21697,0,3
CVE-2020-22015,0,4
CVE-2020-22017,0,3
CVE-2020-22019,4,4
CVE-2020-22020,0,4
CVE-2020-22021,0,4
CVE-2020-22022,0,4
CVE-2020-22023,0,4
CVE-2020-22024,0,2
CVE-2020-22026,0,4
CVE-2020-22027,0,4
CVE-2020-22029,1,3
CVE-2020-22030,0,3
CVE-2020-22031,0,4
CVE-2020-22034,0,3
CVE-2020-22035,0,3
CVE-2020-22036,0,4
CVE-2020-22037,3,4
CVE-2020-22038,0,2
CVE-2020-22039,2,2
CVE-2020-22041,0,4
CVE-2020-22042,0,3
CVE-2020-22043,0,2
CVE-2020-22044,0,4
CVE-2020-22046,0,4
CVE-2020-22048,0,4
CVE-2020-23906,0,4
CVE-2020-24020,0,2
CVE-2020-35965,0,5
CVE-2021-38291,0,6
CVE-2022-1475,4,6
