CVE,succeed,target
CVE-2009-0946,0,6
CVE-2010-2497,0,6
CVE-2010-2498,0,6
CVE-2010-2499,0,6
CVE-2010-2500,0,6
CVE-2010-2519,0,6
CVE-2010-2520,0,6
CVE-2010-2805,0,6
CVE-2010-2806,0,6
CVE-2010-2808,0,6
CVE-2010-3814,0,6
CVE-2010-3855,6,6
CVE-2012-5668,0,6
CVE-2012-5669,0,6
CVE-2012-5670,0,6
CVE-2014-2241,0,6
CVE-2014-9656,0,6
CVE-2014-9657,0,6
CVE-2014-9658,0,6
CVE-2014-9659,0,6
CVE-2014-9660,0,6
CVE-2014-9661,0,6
CVE-2014-9662,6,6
CVE-2014-9663,0,6
CVE-2014-9664,0,6
CVE-2014-9665,0,6
CVE-2014-9666,0,6
CVE-2014-9667,0,6
CVE-2014-9668,0,6
CVE-2014-9669,0,6
CVE-2014-9670,6,6
CVE-2014-9671,0,6
CVE-2014-9673,0,6
CVE-2014-9674,3,6
CVE-2014-9745,0,6
CVE-2014-9746,0,6
CVE-2015-9290,0,6
CVE-2015-9381,6,6
CVE-2015-9382,6,6
CVE-2015-9383,0,6
CVE-2016-10328,0,6
CVE-2017-7857,0,5
CVE-2017-7858,0,6
CVE-2017-7864,6,6
CVE-2017-8105,0,6
CVE-2017-8287,0,6
