cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2017-2629,6,3,0,3,0,0,3,
CVE-2013-1944,4,3,1,0,0,0,4,
CVE-2018-1000301,6,3,3,0,0,0,6,
CVE-2017-9502,6,3,3,0,0,0,6,
CVE-2018-16839,6,3,0,3,0,0,3,
CVE-2023-46219,6,0,3,0,3,0,3,
CVE-2016-8621,6,3,3,0,0,0,6,
CVE-2018-0500,6,2,3,0,1,0,5,
CVE-2014-0015,6,3,0,3,0,0,3,
CVE-2017-8817,6,2,3,0,1,0,5,
CVE-2019-5482,6,3,3,0,0,0,6,
CVE-2016-8624,6,3,0,3,0,0,3,
CVE-2016-8618,6,3,0,3,0,0,3,
CVE-2016-9594,6,3,0,1,0,2,3,7.50.3;7.51.0
CVE-2020-8284,6,3,0,3,0,0,3,
CVE-2020-8177,6,3,0,3,0,0,3,
CVE-2017-8818,5,3,2,0,0,0,5,
CVE-2017-8816,6,3,3,0,0,0,6,
CVE-2016-8625,6,3,3,0,0,0,6,
