project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
ffmpeg,CVE-2020-20896,latm_write_packet,4,3,1,0,0,4,,,
ffmpeg,CVE-2020-21697,mpeg_mux_write_packet,3,2,1,0,0,3,,,
ffmpeg,CVE-2020-22019,ff_vmafmotion_init,4,3,1,0,0,4,,,
ffmpeg,CVE-2020-22021,filter_edges,4,3,1,0,0,4,,,
ffmpeg,CVE-2020-22029,slice_get_derivative,1,0,1,0,2,3,,,4.1.8;4.3
ffmpeg,CVE-2020-22037,ff_frame_thread_encoder_init,3,2,1,0,1,4,,,4.2.5
ffmpeg,CVE-2020-22038,ff_v4l2_m2m_codec_end,2,1,1,0,0,2,,,
ffmpeg,CVE-2020-22038,v4l2_decode_init,2,1,1,0,0,2,,,
ffmpeg,CVE-2020-22039,avi_write_trailer,2,1,1,0,0,2,,,
ffmpeg,CVE-2020-22046,ff_ac3_encode_close,4,3,1,0,0,4,,,
ffmpeg,CVE-2020-24020,dnn_execute_layer_conv2d,0,0,0,0,0,2,4.2.3;4.4,,
ffmpeg,CVE-2020-24020,dnn_execute_layer_math_binary,0,0,0,0,0,2,4.2.3;4.4,,
ffmpeg,CVE-2020-24020,dnn_execute_layer_math_unary,0,0,0,0,0,2,4.2.3;4.4,,
ffmpeg,CVE-2020-24020,dnn_execute_layer_maximum,0,0,0,0,0,2,4.2.3;4.4,,
ffmpeg,CVE-2020-24020,dnn_execute_layer_pad,0,0,0,0,0,2,4.2.3;4.4,,
ffmpeg,CVE-2022-1475,g729_parse,4,3,1,2,0,6,,4.2.6;4.3.4,
