project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
libxml2,CVE-2013-0338,xmlParserEntityCheck,3,3,0,3,0,6,,2.9.0;2.8.0;2.8.0-rc2,
libxml2,CVE-2013-1969,htmlParseChunk__internal_alias,4,3,1,0,0,4,,,
libxml2,CVE-2015-7498,xmlParseXMLDecl__internal_alias,3,3,0,3,0,6,,2.9.2;2.9.1;2.9.0,
libxml2,CVE-2015-7498,xmlSwitchEncoding__internal_alias,3,3,0,3,0,6,,2.9.2;2.9.1;2.9.0,
libxml2,CVE-2015-7500,xmlParseStartTag2,3,3,0,3,0,6,,2.9.2;2.9.1;2.9.0,
libxml2,CVE-2015-7941,xmlParseConditionalSections,4,3,1,0,0,4,,,
libxml2,CVE-2015-8241,xmlParseMarkupDecl__internal_alias,3,3,0,3,0,6,,2.9.2;2.9.1;2.9.0,
libxml2,CVE-2016-1762,xmlParseInternalSubset,6,3,3,0,0,6,,,
libxml2,CVE-2016-1836,xmlParseNCNameComplex,4,3,1,2,0,6,,2.9.2;2.9.2-rc2,
libxml2,CVE-2016-1837,htmlParseSystemLiteral,6,3,3,0,0,6,,,
libxml2,CVE-2016-4658,xmlXPtrNewRangeNodeObject__internal_alias,6,3,3,0,0,6,,,
libxml2,CVE-2017-16931,xmlParseNameComplex,6,3,3,0,0,6,,,
libxml2,CVE-2017-5130,xmlMallocLoc__internal_alias,6,3,3,0,0,6,,,
libxml2,CVE-2017-5130,xmlMemStrdupLoc__internal_alias,3,3,0,3,0,6,,2.9.4;2.9.3;2.9.2,
libxml2,CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue__internal_alias,5,2,3,0,0,6,2.10.0,,
libxml2,CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,5,2,3,0,0,6,2.10.0,,
libxml2,CVE-2022-29824,xmlBufferCreateSize__internal_alias,3,0,3,0,0,6,2.10.0;2.10.1;2.10.2,,
libxml2,CVE-2022-29824,xmlBufCreateSize,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseCDSect,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseStringName,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseEntityValue,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseNCNameComplex,4,1,3,0,2,6,,,2.11.0;2.11.1
libxml2,CVE-2022-40303,xmlParseNameComplex,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseSystemLiteral,3,3,0,3,0,6,,2.10.2;2.10.1;2.10.0,
libxml2,CVE-2022-40303,xmlParseAttValueInternal,3,3,0,3,0,6,,2.10.2;2.10.1;2.10.0,
libxml2,CVE-2022-40303,xmlParseAttValueComplex,3,3,0,3,0,6,,2.10.2;2.10.1;2.10.0,
libxml2,CVE-2022-40303,xmlParseNCName,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseName,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParsePI,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseNmtoken,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParsePubidLiteral,3,3,0,3,0,6,,2.10.2;2.10.1;2.10.0,
libxml2,CVE-2022-40303,xmlParseComment,6,3,3,0,0,6,,,
libxml2,CVE-2022-40303,xmlParseCommentComplex,6,3,3,0,0,6,,,
