project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
openssl,CVE-2014-3572,ssl3_get_key_exchange,4,1,3,0,2,6,,,OpenSSL_1_0_0p;OpenSSL_0_9_8zd
openssl,CVE-2015-0206,dtls1_buffer_record,1,1,0,2,0,3,,OpenSSL_1_0_1j;OpenSSL_1_0_0o,
openssl,CVE-2015-1791,ssl3_get_new_session_ticket,3,2,1,0,0,4,OpenSSL_1_0_2b,,
openssl,CVE-2015-1789,X509_cmp_time,2,1,1,0,0,4,OpenSSL_0_9_8zf,,
openssl,CVE-2015-3195,ASN1_item_ex_d2i,3,2,1,0,1,6,OpenSSL_1_0_1p,,OpenSSL-fips-2_0_12
openssl,CVE-2015-3197,get_client_hello,3,0,3,0,0,6,OpenSSL-fips-2_0_12;OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_11,,
openssl,CVE-2016-0705,dsa_priv_decode,6,3,3,0,0,6,,,
openssl,CVE-2016-0798,init_ssl_connection,6,3,3,0,0,6,,,
openssl,CVE-2016-0799,BIO_vprintf,6,3,3,0,0,6,,,
openssl,CVE-2016-2842,BIO_vsnprintf,6,3,3,0,0,6,,,
openssl,CVE-2016-2842,BIO_vprintf,6,3,3,0,0,6,,,
openssl,CVE-2016-2842,doapr_outch,6,3,3,0,0,6,,,
openssl,CVE-2016-0702,MOD_EXP_CTIME_COPY_TO_PREBUF,6,3,3,0,0,6,,,
openssl,CVE-2016-2109,asn1_d2i_read_bio,3,0,3,0,3,6,,,OpenSSL_1_0_2h;OpenSSL_1_0_1t;OpenSSL_1_0_2i
openssl,CVE-2016-6306,ssl3_get_certificate_request,3,3,0,3,0,6,,OpenSSL_1_0_2h;OpenSSL_1_0_1t;OpenSSL_1_0_1s,
openssl,CVE-2018-0732,generate_key,3,1,2,1,0,6,OpenSSL_1_1_0i;OpenSSL_1_1_1,OpenSSL_1_1_0h,
openssl,CVE-2019-1563,pkcs7_decrypt_rinfo,6,3,3,0,0,6,,,
openssl,CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,6,3,3,0,0,6,,,
openssl,CVE-2022-3358,evp_cipher_init_internal,2,2,0,3,0,6,OpenSSL_1_1_1r,openssl-3.0.5;openssl-3.0.4;openssl-3.0.3,
openssl,CVE-2022-3786,ossl_a2ulabel,6,3,3,0,0,6,,,
openssl,CVE-2022-3996,ossl_policy_cache_set_mapping,3,0,3,0,2,6,OpenSSL_1_1_1t,,openssl-3.1.0-beta1;openssl-3.0.8
openssl,CVE-2022-4203,nc_match,5,2,3,0,1,6,,,OpenSSL_1_1_1t
openssl,CVE-2023-0215,BIO_new_NDEF,4,3,1,2,0,6,,OpenSSL_1_1_1s;OpenSSL_1_1_1r,
openssl,CVE-2023-0401,pkcs7_bio_add_digest,5,2,3,0,0,6,OpenSSL_1_1_1t,,
openssl,CVE-2023-2975,siv_cipher,2,2,0,3,0,6,OpenSSL_1_1_1v,openssl-3.1.1;openssl-3.0.9;openssl-3.1.0,
openssl,CVE-2023-5363,evp_cipher_init_internal,12,6,6,0,0,12,,,
openssl,CVE-2023-5678,generate_key,3,3,0,3,0,6,,openssl-3.0.12;openssl-3.1.4;openssl-3.1.3,
openssl,CVE-2023-5678,ossl_dh_compute_key,3,3,0,3,0,6,,openssl-3.0.12;openssl-3.1.4;openssl-3.1.3,
openssl,CVE-2024-0727,newpass_p12,4,1,3,0,2,6,,,openssl-3.1.5;openssl-3.0.13
openssl,CVE-2024-0727,SMIME_write_PKCS7,6,3,3,0,0,6,,,
openssl,CVE-2024-0727,pkcs12_gen_mac,6,3,3,0,0,6,,,
openssl,CVE-2024-0727,PKCS12_unpack_p7encdata,6,3,3,0,0,6,,,
openssl,CVE-2024-0727,PKCS12_unpack_authsafes,4,3,1,2,0,6,,openssl-3.0.12;openssl-3.1.4,
