project,cve,funcname,succeed,target,false_positive,false_negative,failed_versions
ffmpeg,CVE-2020-20896,latm_write_packet,0,4,0,0,
ffmpeg,CVE-2020-21697,mpeg_mux_write_packet,3,3,0,0,
ffmpeg,CVE-2020-22019,ff_vmafmotion_init,0,4,0,0,
ffmpeg,CVE-2020-22021,filter_edges,0,4,0,0,
ffmpeg,CVE-2020-22029,slice_get_derivative,1,3,0,2,
ffmpeg,CVE-2020-22037,ff_frame_thread_encoder_init,3,4,0,1,
ffmpeg,CVE-2020-22038,ff_v4l2_m2m_codec_end,2,2,0,0,
ffmpeg,CVE-2020-22038,v4l2_decode_init,2,2,0,0,
ffmpeg,CVE-2020-22039,avi_write_trailer,2,2,0,0,
ffmpeg,CVE-2020-22046,ff_ac3_encode_close,4,4,0,0,
ffmpeg,CVE-2020-24020,dnn_execute_layer_conv2d,0,2,0,0,/binaries/target/ffmpeg/ffmpeg-4.2.3-o0-ffmpeg;/binaries/target/ffmpeg/ffmpeg-4.4-o0-ffmpeg
ffmpeg,CVE-2020-24020,dnn_execute_layer_math_binary,0,2,0,0,/binaries/target/ffmpeg/ffmpeg-4.2.3-o0-ffmpeg;/binaries/target/ffmpeg/ffmpeg-4.4-o0-ffmpeg
ffmpeg,CVE-2020-24020,dnn_execute_layer_math_unary,0,2,0,0,/binaries/target/ffmpeg/ffmpeg-4.2.3-o0-ffmpeg;/binaries/target/ffmpeg/ffmpeg-4.4-o0-ffmpeg
ffmpeg,CVE-2020-24020,dnn_execute_layer_maximum,0,2,0,0,/binaries/target/ffmpeg/ffmpeg-4.2.3-o0-ffmpeg;/binaries/target/ffmpeg/ffmpeg-4.4-o0-ffmpeg
ffmpeg,CVE-2020-24020,dnn_execute_layer_pad,0,2,0,0,/binaries/target/ffmpeg/ffmpeg-4.2.3-o0-ffmpeg;/binaries/target/ffmpeg/ffmpeg-4.4-o0-ffmpeg
ffmpeg,CVE-2022-1475,g729_parse,4,6,2,0,
openssl,CVE-2022-3358,evp_cipher_init_internal,0,6,0,0,/binaries/target/openssl/openssl-openssl-3.0.5-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.4-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.3-o0-libcrypto;/binaries/target/openssl/openssl-OpenSSL_1_1_1r-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.6-o0-libcrypto
openssl,CVE-2022-3786,ossl_a2ulabel,0,6,0,0,/binaries/target/openssl/openssl-openssl-3.0.6-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.5-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.4-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.1.0-alpha1-o0-libcrypto
openssl,CVE-2022-3996,ossl_policy_cache_set_mapping,0,6,0,0,/binaries/target/openssl/openssl-openssl-3.0.7-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.6-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.5-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.1.0-beta1-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.8-o0-libcrypto
openssl,CVE-2023-0401,pkcs7_bio_add_digest,0,6,0,0,/binaries/target/openssl/openssl-openssl-3.0.7-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.6-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.5-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.0.8-o0-libcrypto;/binaries/target/openssl/openssl-OpenSSL_1_1_1t-o0-libcrypto;/binaries/target/openssl/openssl-openssl-3.1.0-o0-libcrypto
openssl,CVE-2023-5678,generate_key,0,6,0,0,
