project,cve,funcname,succeed,target,false positive,false negative,failed versions
ffmpeg,CVE-2020-21697,mpeg_mux_write_packet,3,3,,,
ffmpeg,CVE-2020-22029,slice_get_derivative,1,3,,"ffmpeg-4.1.8-o0-ffmpeg,ffmpeg-4.3-o0-ffmpeg",
ffmpeg,CVE-2020-22037,ff_frame_thread_encoder_init,3,4,,ffmpeg-4.2.5-o0-ffmpeg,
ffmpeg,CVE-2020-22038,ff_v4l2_m2m_codec_end,2,2,,,
ffmpeg,CVE-2020-22038,v4l2_decode_init,2,2,,,
ffmpeg,CVE-2020-22039,avi_write_trailer,2,2,,,
ffmpeg,CVE-2020-22046,ff_ac3_encode_close,4,,,,
ffmpeg,CVE-2022-1475,g729_parse,4,,"ffmpeg-4.2.6-o0-ffmpeg,ffmpeg-4.3.4-o0-ffmpeg",,
openssl,CVE-2014-8275,ASN1_verify,0,,,,
openssl,CVE-2014-8275,DSA_verify,0,,,,
openssl,CVE-2014-8275,ECDSA_verify,0,,,,
openssl,CVE-2015-1792,CMS_verify,0,,,,
openssl,CVE-2024-0727,PKCS12_unpack_authsafes,0,,,,
openssl,CVE-2024-0727,PKCS12_unpack_p7encdata,0,,,,
openssl,CVE-2024-0727,SMIME_write_PKCS7,0,,,,
libxml2,CVE-2013-0338,xmlParserEntityCheck,3,,"libxml2-2.8.0-o0-libxml2,libxml2-2.8.0-rc2-o0-libxml2,libxml2-2.9.0-o0-libxml2",,
libxml2,CVE-2015-7500,xmlParseStartTag2,0,,"libxml2-2.9.0-o0-libxml2,libxml2-2.9.1-o0-libxml2,libxml2-2.9.2-o0-libxml2",,
libxml2,CVE-2015-7941,xmlParseConditionalSections,2,,,,
libxml2,CVE-2016-1762,xmlParseInternalSubset,4,,,,
libxml2,CVE-2016-1836,xmlParseNCNameComplex,3,,,,
libxml2,CVE-2016-1837,htmlParseSystemLiteral,3,,,,
libxml2,CVE-2022-29824,xmlBufCreateSize,5,,,,
libxml2,CVE-2022-40303,xmlParseAttValueComplex,5,,,,
