project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
sqlite,CVE-2016-6153,unixGetTempname,3,3,0,2,0,6,3.9.3,3.12.2;3.12.1,
sqlite,CVE-2018-20346,fts3SegReaderNext,3,3,0,3,0,6,,3.25.2;3.25.1;3.25.0,
sqlite,CVE-2018-20346,fts3ScanInteriorNode,6,3,3,0,0,6,,,
sqlite,CVE-2019-19645,renameTableFunc,6,3,3,0,0,6,,,
sqlite,CVE-2019-19645,renameUnmapSelectCb,3,3,0,3,0,6,,3.30.1;3.30.0;3.29.0,
sqlite,CVE-2019-19645,renameColumnSelectCb,6,3,3,0,0,6,,,
sqlite,CVE-2019-19645,renameTableSelectCb,6,3,3,0,0,6,,,
sqlite,CVE-2019-19646,sqlite3CreateColumnExpr,6,3,3,0,0,6,,,
sqlite,CVE-2019-19924,codeCompare,3,3,0,1,0,4,,3.30.1,
sqlite,CVE-2019-19924,sqlite3WindowRewrite,4,3,1,0,0,4,,,
sqlite,CVE-2019-8457,rtreenode,6,3,3,0,0,6,,,
sqlite,CVE-2020-13632,fts3ExprLHits,6,3,3,0,0,6,,,
sqlite,CVE-2021-36690,idxGetTableInfo,4,3,1,0,0,4,,,
