project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
tcpdump,CVE-2017-12896,isakmp_rfc3948_print,4,1,3,0,2,6,,,4.99.0-bp;4.99-bp
tcpdump,CVE-2017-12992,ripng_print,6,3,3,0,0,6,,,
tcpdump,CVE-2017-12993,juniper_atm1_print,4,1,3,0,0,6,4.99.0-bp;4.99-bp,,
tcpdump,CVE-2017-12995,ns_nprint,1,1,0,3,0,6,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.8.1,
tcpdump,CVE-2017-13001,nfs_printfh,0,0,0,0,0,6,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,,
tcpdump,CVE-2017-13002,aodv_extension,6,3,3,0,0,6,,,
tcpdump,CVE-2017-13003,lmp_print,4,3,1,2,0,6,,4.9.1;4.9.0,
tcpdump,CVE-2017-13007,pktap_if_print,4,1,3,0,2,6,,,4.99.0-bp;4.99-bp
tcpdump,CVE-2017-13030,cisco_autorp_print,6,3,3,0,0,6,,,
tcpdump,CVE-2017-13031,frag6_print,3,3,0,3,0,6,,4.9.1;4.9.0;4.8.1,
tcpdump,CVE-2017-13035,isis_print_id,6,3,3,0,0,6,,,
tcpdump,CVE-2017-13039,ikev1_attrmap_print,1,1,0,3,2,6,,4.9.1;4.9.0;4.8.1,4.99.0-bp;4.99-bp
tcpdump,CVE-2017-13050,rpki_rtr_pdu_print,4,3,1,2,0,6,,4.9.1;4.9.0,
tcpdump,CVE-2017-13052,cfm_network_addr_print,0,0,0,0,0,6,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,,
tcpdump,CVE-2017-13053,decode_rt_routing_info,0,0,0,0,0,6,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,,
tcpdump,CVE-2017-13687,chdlc_print,3,3,0,3,0,6,,4.9.1;4.9.0;4.8.1,
tcpdump,CVE-2017-13690,ikev2_ID_print,3,3,0,3,0,6,,4.9.1;4.9.0;4.8.1,
tcpdump,CVE-2017-13725,rt6_print,3,3,0,3,0,6,,4.9.1;4.9.0;4.8.1,
tcpdump,CVE-2018-16228,print_prefix,5,2,3,0,1,6,,,4.9.3
tcpdump,CVE-2018-16300,bgp_attr_print,3,3,0,3,0,6,,4.9.2;4.9.1;4.9.0,
