cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2010-3855,6,3,0,3,0,0,3,
CVE-2014-9746,6,3,0,1,0,2,3,2.5.1;2.5.2
CVE-2014-9669,6,3,0,3,0,0,3,
CVE-2014-9662,6,3,3,0,0,0,6,
CVE-2015-9382,6,3,0,3,0,0,3,
CVE-2017-7864,6,3,3,0,0,0,6,
CVE-2014-9674,6,0,0,0,0,6,0,2.5.1;2.5.2;2.5.3;2.5.4;2.5.5;2.6
CVE-2010-2497,6,0,0,0,0,6,0,2.3.10;2.3.11;2.3.12;2.4.0;2.4.1;2.4.2
CVE-2015-9381,6,0,0,0,0,6,0,2.5.3;2.5.4;2.5.5;2.6.1;2.6.2;2.6.3
CVE-2014-9670,6,0,0,0,0,6,0,2.5.1;2.5.2;2.5.3;2.5.4;2.5.5;2.6
