cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2016-10065,3,3,0,0,0,0,3,
CVE-2017-14174,4,3,0,1,0,0,3,
CVE-2019-10649,3,3,0,0,0,0,3,
CVE-2020-27774,6,3,0,3,0,0,3,
CVE-2020-27753,6,0,0,0,0,6,0,7.0.8-66;7.0.8-67;7.0.8-68;7.1.0-0;7.1.0-1;7.1.0-2
CVE-2021-20311,6,3,0,3,0,0,3,
CVE-2021-20313,6,3,0,3,0,0,3,
CVE-2023-34153,6,3,0,3,0,0,3,
CVE-2023-5341,6,3,0,3,0,0,3,
CVE-2020-25667,6,0,0,0,0,6,0,7.0.8-66;7.0.8-67;7.0.8-68;7.1.0-0;7.1.0-1;7.1.0-2
CVE-2019-19949,6,0,0,0,0,6,0,7.0.8-40;7.0.8-41;7.0.8-42;7.0.8-43;7.0.8-44;7.0.8-45
