cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2014-3572,6,0,3,0,2,1,3,OpenSSL_1_0_1k
CVE-2015-0206,3,1,0,2,0,0,1,
CVE-2015-1791,4,2,1,0,0,1,3,OpenSSL_1_0_2b
CVE-2015-1789,3,1,1,0,0,1,2,OpenSSL_0_9_8zf
CVE-2015-3195,5,2,1,0,0,2,3,OpenSSL-fips-2_0_12;OpenSSL_1_0_1p
CVE-2015-3197,6,0,3,0,0,3,3,OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_11;OpenSSL-fips-2_0_12
CVE-2016-0705,6,3,3,0,0,0,6,
CVE-2016-0798,6,3,3,0,0,0,6,
CVE-2016-0799,6,3,3,0,0,0,6,
CVE-2016-2842,6,3,3,0,0,0,6,
CVE-2016-0702,6,3,3,0,0,0,6,
CVE-2016-2109,6,0,3,0,3,0,3,
CVE-2016-6306,6,3,0,3,0,0,3,
CVE-2018-0732,6,1,2,0,0,3,3,OpenSSL_1_1_0h;OpenSSL_1_1_0i;OpenSSL_1_1_1
CVE-2019-1563,6,3,3,0,0,0,6,
CVE-2022-3358,6,2,0,3,0,1,2,OpenSSL_1_1_1r
CVE-2022-3786,2,0,2,0,0,0,2,
CVE-2022-3996,1,0,0,0,0,1,0,OpenSSL_1_1_1t
CVE-2023-0401,1,0,0,0,0,1,0,OpenSSL_1_1_1t
CVE-2023-2975,1,0,0,0,0,1,0,OpenSSL_1_1_1v
