CVE_ID,func_name,status
CVE-2019-5435,Curl_setstropt,fail
CVE-2019-5435,curl_url_set,fail
CVE-2019-5435,seturl,fail
CVE-2017-2629,allocate_conn,success
CVE-2013-1944,tailmatch,success
CVE-2020-8169,override_login,fail
CVE-2016-8617,base64_encode,fail
CVE-2016-8618,alloc_addbyter,success
CVE-2018-1000120,ftp_done,fail
CVE-2018-1000120,ftp_parse_url_path,fail
CVE-2018-1000120,ftp_state_list,fail
CVE-2018-16840,Curl_close,fail
CVE-2019-5482,tftp_connect,success
CVE-2018-1000301,Curl_http_readwrite_headers,success
CVE-2017-1000101,glob_range,fail
CVE-2016-9586,dprintf_formatf,fail
CVE-2016-8625,Curl_idn_strerror,fail
CVE-2016-8625,create_conn,fail
CVE-2016-8625,curl_version,success
CVE-2016-8625,curl_version_info,success
CVE-2016-8625,fix_hostname,success
CVE-2016-8625,global_init,fail
CVE-2016-8625,idna_init,fail
CVE-2016-8625,tld_check_name,fail
CVE-2017-9502,parseurlandfillconn,success
CVE-2016-8621,parsedate,success
CVE-2018-1000007,Curl_add_custom_headers,fail
CVE-2018-1000007,Curl_http_output_auth,fail
CVE-2018-1000007,Curl_vsetopt,fail
CVE-2017-7407,ourWriteOut,fail
CVE-2018-16839,Curl_auth_create_plain_message,success
CVE-2018-1000300,Curl_pp_readresp,fail
CVE-2021-22898,suboption,fail
CVE-2018-0500,Curl_smtp_escape_eob,success
CVE-2023-46219,Curl_fopen,success
CVE-2017-8818,allocate_conn,success
CVE-2022-42916,create_conn,fail
CVE-2022-42916,parseurlandfillconn,fail
CVE-2022-42915,Curl_connect_done,fail
CVE-2022-42915,conn_shutdown,fail
CVE-2013-0249,Curl_sasl_create_digest_md5_message,fail
CVE-2014-0015,ConnectionExists,success
CVE-2017-8816,Curl_ntlm_core_mk_ntlmv2_hash,success
CVE-2017-8817,setcharset,success
CVE-2020-8177,getparameter,success
CVE-2020-8177,tool_header_cb,fail
CVE-2020-8284,Curl_init_userdefined,success
CVE-2020-8284,config_init,fail
CVE-2016-8624,parseurlandfillconn,success
CVE-2023-46218,Curl_cookie_add,fail
CVE-2016-8623,Curl_cookie_cleanup,fail
CVE-2016-8623,Curl_cookie_clearall,fail
CVE-2016-8623,Curl_cookie_getlist,fail
CVE-2016-8623,Curl_http,fail
CVE-2016-8623,dup_cookie,fail
CVE-2016-9594,randit,success
CVE-2018-16842,voutf,fail
CVE-2018-1000122,readwrite_data,fail
