CVE_ID,func_name,status
CVE-2016-6491,Get8BIMProperty,fail
CVE-2016-5690,ReadDCMImage,fail
CVE-2019-10649,SVGEndElement,success
CVE-2017-14174,ReadPSDChannel,fail
CVE-2017-14174,ReadPSDLayersInternal,success
CVE-2019-13137,ReadPSImage,fail
CVE-2021-3574,ReadTIFFImage,fail
CVE-2019-13307,AcquirePixelThreadSet,fail
CVE-2020-27763,AcquireResizeFilter,fail
CVE-2019-13136,TIFFSeekCustomStream,fail
CVE-2020-25674,WriteOnePNGImage,fail
CVE-2023-1906,ReadTIFFImage,fail
CVE-2016-10065,ImportGrayQuantum,success
CVE-2016-10065,IsVIFF,fail
CVE-2016-10065,ReadVIFFImage,fail
CVE-2022-32545,ReadPSDChannelPixels,fail
CVE-2021-3596,ReadSVGImage,fail
CVE-2020-25666,HistogramCompare,fail
CVE-2016-7515,ReadRLEImage,fail
CVE-2022-0284,WritePICONImage,fail
CVE-2017-15277,ReadGIFImage,fail
CVE-2015-8895,AcquireVirtualMemory,fail
CVE-2015-8895,AutoResizeImage,fail
CVE-2015-8895,GetMagickDelegates,fail
CVE-2015-8895,ReadICONImage,fail
CVE-2015-8895,RelinquishVirtualMemory,fail
CVE-2015-8895,WritePICTImage,fail
CVE-2020-27765,Classify,fail
CVE-2020-27765,OptimalTau,fail
CVE-2021-20309,WaveImage,fail
CVE-2019-10131,format8BIM,fail
CVE-2016-5691,ReadDCMImage,fail
CVE-2020-27769,PosterizeImage,fail
CVE-2020-25675,CropImage,fail
CVE-2020-25675,CropImageToTiles,fail
CVE-2019-12979,SetImageProperty,fail
CVE-2015-8958,ReadSUNImage,fail
CVE-2020-27770,SubstituteString,fail
CVE-2020-27829,ReadTIFFImage,fail
CVE-2019-7396,ReadSIXELImage,fail
CVE-2016-7514,ReadPSDImage,fail
CVE-2020-27752,WriteOnePNGImage,fail
CVE-2019-17547,TraceBezier,fail
CVE-2016-7101,ReadSGIImage,fail
CVE-2023-3195,ReadTIFFImage,fail
CVE-2015-8896,AcquireVirtualMemory,fail
CVE-2015-8896,AutoResizeImage,fail
CVE-2015-8896,GetMagickDelegates,fail
CVE-2015-8896,ReadICONImage,fail
CVE-2015-8896,RelinquishVirtualMemory,fail
CVE-2015-8896,WritePICTImage,fail
CVE-2022-1115,ReadTIFFImage,fail
CVE-2019-7395,WritePSDChannel,fail
CVE-2022-48541,AnimateImageCommand,fail
CVE-2022-48541,CompareImagesCommand,fail
CVE-2022-48541,CompositeImageCommand,fail
CVE-2022-48541,ConjureImageCommand,fail
CVE-2022-48541,ConvertImageCommand,fail
CVE-2022-48541,DisplayImageCommand,fail
CVE-2022-48541,IdentifyImageCommand,fail
CVE-2022-48541,ImportImageCommand,fail
CVE-2022-48541,MogrifyImageCommand,fail
CVE-2022-48541,MontageImageCommand,fail
CVE-2022-48541,StreamImageCommand,fail
CVE-2023-3428,ReadTIFFImage,fail
CVE-2018-20467,ReadBMPImage,fail
CVE-2020-27751,SetQuantumDepth,fail
CVE-2019-12974,ReadCAPTIONImage,fail
CVE-2019-12974,ReadLABELImage,fail
CVE-2019-13133,ReadBMPImage,fail
CVE-2019-13133,ReadVIFFImage,fail
CVE-2019-11472,ReadXWDImage,fail
CVE-2019-12975,WriteDPXImage,fail
CVE-2020-27758,ReadTXTImage,fail
CVE-2021-3962,ReadDCMImage,fail
CVE-2020-25676,CatromWeights,fail
CVE-2020-25676,InterpolatePixelChannel,fail
CVE-2020-25676,InterpolatePixelChannels,fail
CVE-2020-25676,InterpolatePixelInfo,fail
CVE-2020-25676,MeshInterpolate,fail
CVE-2019-15139,ReadXWDImage,fail
CVE-2019-15139,RegisterXWDImage,fail
CVE-2018-16643,ReadCALSImage,fail
CVE-2018-16643,ReadDCMImage,fail
CVE-2018-16643,ReadPICTImage,fail
CVE-2018-16643,ReadPWPImage,fail
CVE-2021-20310,ConvertXYZToJzazbz,fail
CVE-2019-19949,Magick_png_write_raw_profile,success
CVE-2020-25663,SetImageAlphaChannel,fail
CVE-2020-27775,ApplyEvaluateOperator,fail
CVE-2022-28463,ReadCINImage,fail
CVE-2019-12978,ReadCAPTIONImage,fail
CVE-2020-25667,TIFFGetEXIFProperties,fail
CVE-2020-25667,TIFFGetProfiles,success
CVE-2022-32546,ReadPCLImage,fail
CVE-2019-13134,ReadBMPImage,fail
CVE-2019-13134,ReadVIFFImage,fail
CVE-2020-27761,WritePALMImage,fail
CVE-2016-7534,GetQuantumExtent,fail
CVE-2016-7534,ImportCbYCrYQuantum,fail
CVE-2016-7534,SetQuantumPack,fail
CVE-2020-19667,ReadXPMImage,fail
CVE-2023-5341,ReadBMPImage,success
CVE-2020-27762,WriteHDRImage,fail
CVE-2017-11523,ReadTXTImage,fail
CVE-2017-9499,ReadMPCImage,fail
CVE-2019-12976,ReadPCLImage,fail
CVE-2020-27755,SetImageExtent,fail
CVE-2021-20244,ImplodeImage,fail
CVE-2019-7398,WriteDIBImage,fail
CVE-2021-20246,ScaleResampleFilter,fail
CVE-2017-15032,ReadYCBCRImage,fail
CVE-2023-1289,DrawPrimitive,fail
CVE-2020-27750,PixelSyncIterator,fail
CVE-2022-3213,ReadTIFFImage,fail
CVE-2018-16644,ReadDCMImage,fail
CVE-2019-17541,ReadICCProfile,fail
CVE-2019-17541,ReadIPTCProfile,fail
CVE-2021-20313,EncipherAESBlock,fail
CVE-2021-20313,PasskeyDecipherImage,fail
CVE-2021-20313,PasskeyEncipherImage,fail
CVE-2021-20313,RelinquishVirtualMemory,fail
CVE-2021-20313,TransformsRGBImage,fail
CVE-2021-20313,WriteTHUMBNAILImage,success
CVE-2021-20313,sRGBTransformImage,fail
CVE-2016-9556,ReadSGIImage,fail
CVE-2015-8900,ReadHDRImage,fail
CVE-2019-11470,ReadCINImage,fail
CVE-2020-27753,PopRunlengthPacket,success
CVE-2020-27753,PushRunlengthPacket,success
CVE-2020-27753,ReadMIFFImage,fail
CVE-2020-27753,WriteMIFFImage,fail
CVE-2021-20176,GenerateDifferentialNoise,fail
CVE-2021-3610,ReadTIFFImage,fail
CVE-2020-27760,GammaImage,fail
CVE-2020-27760,LevelPixel,fail
CVE-2021-20311,EncipherAESBlock,fail
CVE-2021-20311,PasskeyDecipherImage,fail
CVE-2021-20311,PasskeyEncipherImage,fail
CVE-2021-20311,RelinquishVirtualMemory,fail
CVE-2021-20311,TransformsRGBImage,fail
CVE-2021-20311,WriteTHUMBNAILImage,success
CVE-2021-20311,sRGBTransformImage,fail
CVE-2017-9098,ReadRLEImage,fail
CVE-2020-25665,WritePALMImage,fail
CVE-2019-10714,LocaleLowercase,fail
CVE-2019-10714,LocaleUppercase,fail
CVE-2023-34474,ReadTIM2ImageData,fail
CVE-2023-34474,ReplaceXmpValue,fail
CVE-2023-34475,ReadTIM2ImageData,fail
CVE-2023-34475,ReplaceXmpValue,fail
CVE-2020-27774,ApplyEvaluateOperator,success
CVE-2022-32547,GetEXIFProperty,fail
CVE-2020-27756,ParseMetaGeometry,fail
CVE-2019-10650,WriteTIFFImage,fail
CVE-2020-25664,WriteOnePNGImage,fail
CVE-2016-10060,ConcatenateImages,fail
CVE-2016-10060,MagickUsage,fail
CVE-2020-27560,OptimizeLayerFrames,fail
CVE-2019-14981,MeanShiftImage,fail
CVE-2019-7175,DecodeImage,fail
CVE-2016-5689,ReadDCMImage,fail
CVE-2020-27772,WriteBMPImage,fail
CVE-2018-16645,ReadBMPImage,fail
CVE-2023-34153,IsVIDEO,fail
CVE-2023-34153,ReadVIDEOImage,success
CVE-2019-16711,Huffman2DEncodeImage,fail
CVE-2019-16711,WritePS2Image,fail
CVE-2023-34152,OpenBlob,fail
CVE-2023-34151,AnnotateImage,fail
CVE-2023-34151,FormatMagickCaption,fail
CVE-2023-34151,ParseMetaGeometry,fail
CVE-2023-34151,ReadCAPTIONImage,fail
CVE-2023-34151,ReadLABELImage,fail
CVE-2023-34151,ReadPCLImage,fail
CVE-2023-34151,RenderMVGContent,fail
CVE-2023-34151,SVGStartElement,fail
CVE-2023-34151,ShadowImage,fail
CVE-2023-34151,ShearRotateImage,fail
CVE-2023-34151,WritePDFImage,fail
CVE-2023-34151,WritePS2Image,fail
CVE-2023-34151,WritePS3Image,fail
CVE-2023-34151,WritePSImage,fail
CVE-2019-18853,ReadSVGImage,fail
CVE-2021-20312,EncipherAESBlock,fail
CVE-2021-20312,PasskeyDecipherImage,fail
CVE-2021-20312,PasskeyEncipherImage,fail
CVE-2021-20312,RelinquishVirtualMemory,fail
CVE-2021-20312,TransformsRGBImage,fail
CVE-2021-20312,WriteTHUMBNAILImage,fail
CVE-2021-20312,sRGBTransformImage,fail
CVE-2017-15033,ReadYUVImage,fail
