CVE_ID,func_name,status
CVE-2015-5312,xmlStringLenDecodeEntities__internal_alias,fail
CVE-2015-8317,xmlParseEncodingDecl__internal_alias,fail
CVE-2017-16932,xmlParsePEReference__internal_alias,fail
CVE-2017-16932,xmlPushInput__internal_alias,fail
CVE-2015-7497,xmlDictComputeFastQKey,fail
CVE-2022-23308,xmlAddID__internal_alias,fail
CVE-2022-23308,xmlAddRef__internal_alias,fail
CVE-2022-23308,xmlIsStreaming,fail
CVE-2022-23308,xmlRemoveID__internal_alias,fail
CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue__internal_alias,success
CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,success
CVE-2022-23308,xmlValidNormalizeString,fail
CVE-2013-1969,htmlParseChunk__internal_alias,success
CVE-2023-28484,xmlSchemaFixupComplexType,fail
CVE-2016-1837,htmlParseSystemLiteral,success
CVE-2013-0338,xmlCtxtReset__internal_alias,fail
CVE-2013-0338,xmlInitParserCtxt__internal_alias,fail
CVE-2013-0338,xmlParseReference__internal_alias,fail
CVE-2013-0338,xmlParserEntityCheck,success
CVE-2013-0338,xmlStringLenDecodeEntities__internal_alias,fail
CVE-2019-19956,xmlParseBalancedChunkMemoryRecover__internal_alias,fail
CVE-2016-1836,xmlParseNCNameComplex,success
CVE-2012-5134,xmlParseAttValueComplex,fail
CVE-2016-1840,xmlFAParseCharRange,fail
CVE-2014-3660,xmlParseReference__internal_alias,fail
CVE-2016-4449,xmlStringLenDecodeEntities__internal_alias,fail
CVE-2016-1833,xmlNextChar__internal_alias,fail
CVE-2015-8242,htmlParseTryOrFinish,fail
CVE-2017-5130,xmlMallocLoc__internal_alias,success
CVE-2017-5130,xmlMemStrdupLoc__internal_alias,success
CVE-2017-5130,xmlReallocLoc__internal_alias,fail
CVE-2016-4483,xmlBufAttrSerializeTxtContent,fail
CVE-2015-7499,xmlHaltParser,fail
CVE-2015-7499,xmlStopParser__internal_alias,fail
CVE-2020-7595,xmlStringLenDecodeEntities,fail
CVE-2015-8241,xmlParseMarkupDecl__internal_alias,success
CVE-2015-7941,xmlParseConditionalSections,success
CVE-2016-4658,xmlXPtrNewCollapsedRange__internal_alias,fail
CVE-2016-4658,xmlXPtrNewRangeInternal,fail
CVE-2016-4658,xmlXPtrNewRangeNodeObject__internal_alias,success
CVE-2016-4658,xmlXPtrNewRangeNodePoint__internal_alias,fail
CVE-2016-4658,xmlXPtrNewRangeNodes__internal_alias,fail
CVE-2016-4658,xmlXPtrNewRangePointNode__internal_alias,fail
CVE-2016-4658,xmlXPtrNewRangePoints,fail
CVE-2016-4658,xmlXPtrNewRange__internal_alias,fail
CVE-2015-7500,xmlParseStartTag2,success
CVE-2016-1834,xmlStrncatNew__internal_alias,fail
CVE-2016-1834,xmlStrncat__internal_alias,fail
CVE-2013-0339,xmlParseReference__internal_alias,fail
CVE-2016-1838,xmlParseEndTag2,fail
CVE-2017-7375,xmlParsePEReference__internal_alias,fail
CVE-2022-40304,xmlCreateEntity,fail
CVE-2022-40304,xmlFreeEntity,fail
CVE-2015-7498,xmlParseDocument__internal_alias,fail
CVE-2015-7498,xmlParseXMLDecl__internal_alias,success
CVE-2015-7498,xmlSwitchEncoding__internal_alias,success
CVE-2016-1762,xmlParseInternalSubset,success
CVE-2017-16931,xmlParseNameComplex,success
CVE-2018-14404,xmlXPathCompOpEval,fail
CVE-2015-8710,htmlParseComment,fail
CVE-2022-29824,xmlBufAdd,fail
CVE-2022-29824,xmlBufCCat,fail
CVE-2022-29824,xmlBufCreateSize,success
CVE-2022-29824,xmlBufGrowInternal,fail
CVE-2022-29824,xmlBufResize,fail
CVE-2022-29824,xmlBufferCCat__internal_alias,fail
CVE-2022-29824,xmlBufferCreateSize__internal_alias,success
CVE-2022-29824,xmlBufferCreateStatic__internal_alias,fail
CVE-2022-29824,xmlBufferGrow__internal_alias,fail
CVE-2022-29824,xmlBufferResize__internal_alias,fail
CVE-2022-40303,xmlFatalErr,fail
CVE-2022-40303,xmlParseAttValueComplex,success
CVE-2022-40303,xmlParseAttValueInternal,success
CVE-2022-40303,xmlParseCDSect,success
CVE-2022-40303,xmlParseComment,success
CVE-2022-40303,xmlParseCommentComplex,success
CVE-2022-40303,xmlParseEntityValue,success
CVE-2022-40303,xmlParseNCName,success
CVE-2022-40303,xmlParseNCNameComplex,success
CVE-2022-40303,xmlParseName,success
CVE-2022-40303,xmlParseNameComplex,success
CVE-2022-40303,xmlParseNmtoken,success
CVE-2022-40303,xmlParsePI,success
CVE-2022-40303,xmlParsePubidLiteral,success
CVE-2022-40303,xmlParseStringName,success
CVE-2022-40303,xmlParseSystemLiteral,success
