CVE_ID,func_name,status
CVE-2016-7163,opj_pi_create_decode,fail
CVE-2017-14152,opj_j2k_set_cinema_parameters,success
CVE-2017-14039,opj_j2k_write_sod,fail
CVE-2017-14039,opj_j2k_write_sot,fail
CVE-2017-14039,opj_t2_encode_packet,fail
CVE-2016-4797,opj_tcd_init_tile,fail
CVE-2017-14151,opj_tcd_code_block_enc_allocate_data,fail
CVE-2018-20847,opj_get_all_encoding_parameters,fail
CVE-2018-20847,opj_tcd_init_tile,fail
CVE-2017-14164,opj_j2k_write_all_tile_parts,success
CVE-2017-14164,opj_j2k_write_first_tile_part,fail
CVE-2017-14164,opj_j2k_write_sot,fail
CVE-2017-14164,opj_j2k_write_tlm,fail
CVE-2016-10506,opj_pi_next_cprl,success
CVE-2016-10506,opj_pi_next_pcrl,fail
CVE-2016-10506,opj_pi_next_rpcl,fail
CVE-2015-8871,opj_j2k_write_mco,fail
CVE-2016-10504,opj_tcd_code_block_enc_allocate_data,success
