CVE_ID,func_name,status
CVE-2021-23840,EVP_DecryptUpdate,fail
CVE-2021-23840,evp_EncryptDecryptUpdate,fail
CVE-2023-5678,DH_check_pub_key_ex,fail
CVE-2023-5678,generate_key,success
CVE-2023-5678,ossl_dh_compute_key,success
CVE-2015-1788,BN_GF2m_mod_inv,fail
CVE-2019-1559,dtls1_read_bytes,fail
CVE-2019-1559,ssl3_read_bytes,fail
CVE-2019-1559,ssl3_send_alert,fail
CVE-2016-2106,EVP_EncryptUpdate,fail
CVE-2016-0797,BN_dec2bn,fail
CVE-2016-0797,BN_hex2bn,fail
CVE-2019-1543,chacha20_poly1305_ctrl,fail
CVE-2022-1343,ocsp_verify_signer,fail
CVE-2015-3196,ssl3_get_client_key_exchange,fail
CVE-2015-3196,ssl3_get_key_exchange,fail
CVE-2015-3196,ssl3_send_client_key_exchange,fail
CVE-2014-3572,ssl3_get_key_exchange,success
CVE-2015-0209,d2i_ECPrivateKey,fail
CVE-2015-0288,X509_to_X509_REQ,fail
CVE-2016-0702,BN_mod_exp_mont_consttime,fail
CVE-2016-0702,MOD_EXP_CTIME_COPY_TO_PREBUF,success
CVE-2016-0702,bn_get_bits,fail
CVE-2015-3195,ASN1_item_ex_d2i,success
CVE-2015-3195,asn1_template_noexp_d2i,fail
CVE-2024-0727,PKCS12_unpack_authsafes,success
CVE-2024-0727,PKCS12_unpack_p7encdata,success
CVE-2024-0727,SMIME_write_PKCS7,success
CVE-2024-0727,newpass_p12,success
CVE-2024-0727,pkcs12_gen_mac,success
CVE-2015-0206,dtls1_buffer_record,success
CVE-2015-0206,dtls1_get_record,fail
CVE-2015-0206,dtls1_process_buffered_records,fail
CVE-2015-0206,dtls1_read_bytes,fail
CVE-2016-0705,dsa_priv_decode,success
CVE-2015-0205,ssl3_get_cert_verify,fail
CVE-2016-2177,ssl3_get_client_hello,fail
CVE-2016-2177,ssl_check_for_safari,fail
CVE-2016-2177,ssl_get_prev_session,fail
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,fail
CVE-2016-2177,ssl_scan_clienthello_tlsext,fail
CVE-2016-2177,ssl_scan_serverhello_tlsext,fail
CVE-2016-2177,tls1_process_ticket,fail
CVE-2016-2176,X509_NAME_oneline,fail
CVE-2015-1791,SSL_SESSION_new,fail
CVE-2015-1791,ssl3_get_new_session_ticket,success
CVE-2022-3602,ossl_punycode_decode,fail
CVE-2016-6306,ssl3_get_certificate_request,success
CVE-2016-6306,ssl3_get_client_certificate,fail
CVE-2016-6306,ssl3_get_server_certificate,fail
CVE-2015-3197,get_client_hello,success
CVE-2015-3197,get_client_master_key,fail
CVE-2016-7052,get_crl_sk,fail
CVE-2022-3358,evp_cipher_init_internal,success
CVE-2022-3358,evp_md_init_internal,fail
CVE-2016-0798,SRP_VBASE_init,fail
CVE-2016-0798,SRP_user_pwd_set_sv_BN,fail
CVE-2016-0798,init_ssl_connection,success
CVE-2016-0798,rev_body,fail
CVE-2016-0798,ssl_srp_server_param_cb,fail
CVE-2016-0798,sv_body,fail
CVE-2016-0798,t_tob64,fail
CVE-2016-0798,www_body,fail
CVE-2023-0216,PKCS7_add_signature,fail
CVE-2023-0216,ossl_pkcs7_resolve_libctx,fail
CVE-2023-0216,pkcs7_get_signer_certs,fail
CVE-2022-4203,do_i2r_name_constraints,fail
CVE-2022-4203,nc_match,success
CVE-2015-1789,X509_cmp_time,success
CVE-2016-2105,EVP_EncodeUpdate,fail
CVE-2021-4044,ssl_cert_set_cert_cb,fail
CVE-2021-4044,ssl_verify_cert_chain,fail
CVE-2021-4044,tls_post_process_server_certificate,fail
CVE-2016-2109,ASN1_item_d2i_fp,fail
CVE-2016-2109,asn1_d2i_read_bio,success
CVE-2018-0732,generate_key,success
CVE-2015-1790,PKCS7_dataDecode,fail
CVE-2023-2975,siv_cipher,success
CVE-2023-0215,BIO_new_NDEF,success
CVE-2023-0215,ndef_suffix,fail
CVE-2018-0737,rsa_builtin_keygen,fail
CVE-2022-1473,OPENSSL_LH_flush,fail
CVE-2016-0799,BIO_vprintf,success
CVE-2016-0799,BIO_vsnprintf,fail
CVE-2016-0799,_dopr,fail
CVE-2016-0799,doapr_outch,fail
CVE-2016-0799,fmtfp,fail
CVE-2016-0799,fmtint,fail
CVE-2016-0799,roundv,fail
CVE-2023-5363,evp_cipher_init_internal,success
CVE-2023-2650,OBJ_obj2txt,fail
CVE-2023-0401,PKCS7_dataDecode,fail
CVE-2023-0401,pkcs7_bio_add_digest,success
CVE-2016-6304,ssl_parse_clienthello_tlsext,fail
CVE-2016-2842,BIO_vprintf,success
CVE-2016-2842,BIO_vsnprintf,success
CVE-2016-2842,_dopr,fail
CVE-2016-2842,doapr_outch,success
CVE-2016-2842,fmtfp,fail
CVE-2016-2842,fmtint,fail
CVE-2016-2842,roundv,fail
CVE-2022-3996,ossl_policy_cache_set_mapping,success
CVE-2016-2108,ASN1_TYPE_cmp,fail
CVE-2016-2108,asn1_ex_c2i,fail
CVE-2016-2108,asn1_ex_i2c,fail
CVE-2019-1563,CMS_decrypt,fail
CVE-2019-1563,PKCS7_dataDecode,fail
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,success
CVE-2019-1563,pkcs7_decrypt_rinfo,success
CVE-2019-1563,pkcs7_encode_rinfo,fail
CVE-2020-1967,tls1_check_sig_alg,fail
CVE-2015-3194,rsa_pss_decode,fail
CVE-2022-3786,ossl_a2ulabel,success
CVE-2022-3786,ossl_punycode_decode,fail
CVE-2015-1793,X509_verify_cert,fail
CVE-2022-2274,ossl_rsaz_mod_exp_avx512_x2,fail
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,fail
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,fail
