CVE_ID,func_name,status
CVE-2020-13434,printfTempBuf,fail
CVE-2020-13434,sqlite3_str_vappendf,fail
CVE-2020-35525,multiSelect,fail
CVE-2020-35527,selectExpander,fail
CVE-2016-6153,unixGetTempname,success
CVE-2016-6153,unixTempFileDir,fail
CVE-2019-19646,sqlite3CreateColumnExpr,success
CVE-2019-19646,sqlite3Pragma,fail
CVE-2019-19959,zipfileStep,fail
CVE-2019-19959,zipfileUpdate,fail
CVE-2019-8457,rtreenode,success
CVE-2020-13632,fts3ExprLHits,success
CVE-2019-19242,sqlite3ExprCodeTarget,fail
CVE-2019-19242,whereIndexExprTransColumn,fail
CVE-2019-19926,multiSelect,fail
CVE-2020-13630,fts3EvalNextRow,fail
CVE-2019-19880,exprListAppendList,fail
CVE-2019-19645,renameColumnFunc,fail
CVE-2019-19645,renameColumnSelectCb,success
CVE-2019-19645,renameTableFunc,success
CVE-2019-19645,renameTableSelectCb,success
CVE-2019-19645,renameUnmapSelectCb,success
CVE-2019-19645,sqlite3CreateView,fail
CVE-2022-46908,safeModeAuth,fail
CVE-2023-7104,sessionReadRecord,fail
CVE-2018-20346,fts3ScanInteriorNode,success
CVE-2018-20346,fts3SegReaderNext,success
CVE-2018-20346,nodeReaderNext,fail
CVE-2020-15358,flattenSubquery,fail
CVE-2020-15358,multiSelect,fail
CVE-2020-15358,sqlite3Select,fail
CVE-2019-19924,codeCompare,success
CVE-2019-19924,sqlite3WindowRewrite,success
CVE-2019-19924,vdbeVComment,fail
CVE-2019-19923,flattenSubquery,fail
CVE-2021-36690,idxGetTableInfo,success
CVE-2019-19244,sqlite3Select,fail
CVE-2019-19317,lookupName,fail
CVE-2019-20218,selectExpander,fail
CVE-2021-31239,apndOpen,fail
CVE-2019-19925,zipfileUpdate,fail
CVE-2020-11655,resetAccumulator,fail
CVE-2020-11656,renameUnmapSelectCb,fail
CVE-2020-11656,unmapColumnIdlistNames,fail
