CVE,succeed,target
CVE-2015-8895,0,6
CVE-2015-8896,0,6
CVE-2015-8900,0,6
CVE-2015-8958,0,3
CVE-2016-10060,0,6
CVE-2016-10065,0,3
CVE-2016-5689,0,6
CVE-2016-5690,0,6
CVE-2016-5691,0,6
CVE-2016-6491,0,6
CVE-2016-7101,0,6
CVE-2016-7514,0,4
CVE-2016-7515,0,3
CVE-2016-7534,0,3
CVE-2016-9556,0,4
CVE-2017-11523,0,6
CVE-2017-14174,0,4
CVE-2017-15032,0,4
CVE-2017-15033,0,4
CVE-2017-15277,0,4
CVE-2017-9098,0,6
CVE-2017-9499,0,4
CVE-2018-16643,0,4
CVE-2018-16644,0,4
CVE-2018-16645,0,4
CVE-2018-20467,0,6
CVE-2019-10131,0,6
CVE-2019-10649,3,3
CVE-2019-10650,0,3
CVE-2019-10714,0,6
CVE-2019-11470,0,3
CVE-2019-11472,0,3
CVE-2019-12974,0,4
CVE-2019-12975,0,4
CVE-2019-12976,0,4
CVE-2019-12978,0,4
CVE-2019-12979,0,4
CVE-2019-13133,0,6
CVE-2019-13134,0,6
CVE-2019-13136,0,6
CVE-2019-13137,0,6
CVE-2019-13307,0,3
CVE-2019-14981,0,6
CVE-2019-15139,0,3
CVE-2019-16711,0,4
CVE-2019-17541,0,6
CVE-2019-17547,0,6
CVE-2019-18853,0,6
CVE-2019-19949,6,6
CVE-2019-7175,0,6
CVE-2019-7395,0,6
CVE-2019-7396,0,6
CVE-2019-7398,0,6
CVE-2020-19667,0,4
CVE-2020-25663,0,6
CVE-2020-25664,0,6
CVE-2020-25665,0,6
CVE-2020-25666,0,6
CVE-2020-25667,0,6
CVE-2020-25674,0,6
CVE-2020-25675,0,6
CVE-2020-25676,0,6
CVE-2020-27560,0,4
CVE-2020-27750,0,6
CVE-2020-27751,0,6
CVE-2020-27752,0,6
CVE-2020-27753,0,6
CVE-2020-27755,0,6
CVE-2020-27756,0,6
CVE-2020-27758,0,6
CVE-2020-27760,0,6
CVE-2020-27761,0,6
CVE-2020-27762,0,6
CVE-2020-27763,0,6
CVE-2020-27765,0,6
CVE-2020-27769,0,6
CVE-2020-27770,0,6
CVE-2020-27772,0,6
CVE-2020-27774,3,6
CVE-2020-27775,0,6
CVE-2020-27829,0,6
CVE-2021-20176,0,6
CVE-2021-20244,0,6
CVE-2021-20246,0,6
CVE-2021-20309,0,6
CVE-2021-20310,0,6
CVE-2021-20311,0,6
CVE-2021-20312,0,6
CVE-2021-20313,0,6
CVE-2021-3574,0,4
CVE-2021-3596,0,6
CVE-2021-3610,0,6
CVE-2021-3962,0,4
CVE-2022-0284,0,6
CVE-2022-1115,0,6
CVE-2022-28463,0,4
CVE-2022-3213,0,6
CVE-2022-32545,0,6
CVE-2022-32546,0,6
CVE-2022-32547,0,6
CVE-2022-48541,0,4
CVE-2023-1289,0,6
CVE-2023-1906,0,4
CVE-2023-3195,0,5
CVE-2023-34151,0,6
CVE-2023-34152,0,6
CVE-2023-34153,0,6
CVE-2023-3428,0,6
CVE-2023-34474,0,6
CVE-2023-34475,0,6
CVE-2023-5341,3,6
