project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
imagemagick,CVE-2016-10065,ImportGrayQuantum,3,3,0,0,
imagemagick,CVE-2017-14174,ReadPSDLayersInternal,3,4,1,0,
imagemagick,CVE-2019-10649,SVGEndElement,3,3,0,0,
imagemagick,CVE-2019-19949,Magick_png_write_raw_profile,6,6,0,0,
imagemagick,CVE-2020-27774,ApplyEvaluateOperator,3,6,0,3,
imagemagick,CVE-2020-25667,TIFFGetProfiles,6,6,0,0,
imagemagick,CVE-2020-27753,PopRunlengthPacket,6,6,0,0,
imagemagick,CVE-2020-27753,PushRunlengthPacket,6,6,0,0,
imagemagick,CVE-2021-20311,WriteTHUMBNAILImage,6,6,0,0,
imagemagick,CVE-2021-20313,WriteTHUMBNAILImage,6,6,0,0,
imagemagick,CVE-2023-34153,ReadVIDEOImage,4,6,2,0,
imagemagick,CVE-2023-5341,ReadBMPImage,3,6,3,0,
