project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
libxml2,CVE-2013-0338,xmlParserEntityCheck,3,6,3,0,
libxml2,CVE-2013-1969,htmlParseChunk__internal_alias,4,4,0,0,
libxml2,CVE-2015-7498,xmlParseXMLDecl__internal_alias,3,6,3,0,
libxml2,CVE-2015-7498,xmlSwitchEncoding__internal_alias,3,6,3,0,
libxml2,CVE-2015-7500,xmlParseStartTag2,3,6,3,0,
libxml2,CVE-2015-7941,xmlParseConditionalSections,4,4,0,0,
libxml2,CVE-2015-8241,xmlParseMarkupDecl__internal_alias,3,6,3,0,
libxml2,CVE-2016-1762,xmlParseInternalSubset,6,6,0,0,
libxml2,CVE-2016-1836,xmlParseNCNameComplex,4,6,2,0,
libxml2,CVE-2016-1837,htmlParseSystemLiteral,6,6,0,0,
libxml2,CVE-2016-4658,xmlXPtrNewRangeNodeObject__internal_alias,6,6,0,0,
libxml2,CVE-2017-16931,xmlParseNameComplex,6,6,0,0,
libxml2,CVE-2017-5130,xmlMallocLoc__internal_alias,6,6,0,0,
libxml2,CVE-2017-5130,xmlMemStrdupLoc__internal_alias,3,6,3,0,
libxml2,CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue__internal_alias,5,6,0,0,/binaries/target/libxml2/libxml2-2.10.0-o0-libxml2
libxml2,CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,5,6,0,0,/binaries/target/libxml2/libxml2-2.10.0-o0-libxml2
libxml2,CVE-2022-29824,xmlBufferCreateSize__internal_alias,3,6,0,0,/binaries/target/libxml2/libxml2-2.10.0-o0-libxml2;/binaries/target/libxml2/libxml2-2.10.1-o0-libxml2;/binaries/target/libxml2/libxml2-2.10.2-o0-libxml2
libxml2,CVE-2022-29824,xmlBufCreateSize,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseCDSect,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseStringName,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseEntityValue,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseNCNameComplex,4,6,0,2,
libxml2,CVE-2022-40303,xmlParseNameComplex,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseSystemLiteral,3,6,3,0,
libxml2,CVE-2022-40303,xmlParseAttValueInternal,3,6,3,0,
libxml2,CVE-2022-40303,xmlParseAttValueComplex,3,6,3,0,
libxml2,CVE-2022-40303,xmlParseNCName,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseName,6,6,0,0,
libxml2,CVE-2022-40303,xmlParsePI,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseNmtoken,6,6,0,0,
libxml2,CVE-2022-40303,xmlParsePubidLiteral,3,6,3,0,
libxml2,CVE-2022-40303,xmlParseComment,6,6,0,0,
libxml2,CVE-2022-40303,xmlParseCommentComplex,6,6,0,0,
