CVE,succeed,target
CVE-2016-6153,0,6
CVE-2018-20346,0,6
CVE-2019-19242,0,4
CVE-2019-19244,0,4
CVE-2019-19317,0,4
CVE-2019-19645,0,6
CVE-2019-19646,0,6
CVE-2019-19880,0,4
CVE-2019-19923,0,4
CVE-2019-19924,0,4
CVE-2019-19925,0,4
CVE-2019-19926,0,4
CVE-2019-19959,0,4
CVE-2019-20218,0,4
CVE-2019-8457,6,6
CVE-2020-11655,0,6
CVE-2020-11656,0,6
CVE-2020-13434,0,6
CVE-2020-13630,0,6
CVE-2020-13632,6,6
CVE-2020-15358,0,6
CVE-2020-35525,0,4
CVE-2020-35527,0,4
CVE-2021-31239,0,4
CVE-2021-36690,4,4
CVE-2022-46908,0,6
CVE-2023-7104,0,6
