project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
sqlite,CVE-2016-6153,unixGetTempname,3,6,2,0,/binaries/target/sqlite/sqlite-3.9.3-o0-sqlite3
sqlite,CVE-2018-20346,fts3SegReaderNext,3,6,3,0,
sqlite,CVE-2018-20346,fts3ScanInteriorNode,6,6,0,0,
sqlite,CVE-2019-19645,renameTableFunc,6,6,0,0,
sqlite,CVE-2019-19645,renameUnmapSelectCb,3,6,3,0,
sqlite,CVE-2019-19645,renameColumnSelectCb,6,6,0,0,
sqlite,CVE-2019-19645,renameTableSelectCb,6,6,0,0,
sqlite,CVE-2019-19646,sqlite3CreateColumnExpr,6,6,0,0,
sqlite,CVE-2019-19924,codeCompare,3,4,1,0,
sqlite,CVE-2019-19924,sqlite3WindowRewrite,4,4,0,0,
sqlite,CVE-2019-8457,rtreenode,6,6,0,0,
sqlite,CVE-2020-13632,fts3ExprLHits,6,6,0,0,
sqlite,CVE-2021-36690,idxGetTableInfo,4,4,0,0,
