work,cve,cant_tell,failed_versions,false_negative,false_positive,func_not_found,funcname,no_diff,no_sig,project,succeed,target,target,too_much_diff
PS3,CVE-2017-14933,,,2.30;2.31;2.31.1,,,read_formatted_entries,,,,1,,4,
PS3,CVE-2018-7208,,,2.31;2.31.1;2.32,,,coff_pointerize_aux,,,,1,,4,
PS3,CVE-2018-6543,,,,,,load_specific_debug_section,,,,4,,4,
PS3,CVE-2016-1837,,,,,,htmlParseSystemLiteral,,true,,0,,6,
PS3,CVE-2017-16931,,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,xmlParseNameComplex,,,,3,,6,
PS3,CVE-2017-12992,,,,,,ripng_print,,,,6,,6,
PS3,CVE-2017-13003,,,,,,lmp_print,,,,6,,6,
PS3,CVE-2017-13007,,,,,,pktap_if_print,,,,6,,6,
PS3,CVE-2017-13687,,,4.99.0-bp;4.99-bp,,,chdlc_print,,,,4,,6,
PS3,CVE-2015-1789,,,,OpenSSL_1_0_0r;OpenSSL_0_9_8zf,,X509_cmp_time,,,,2,,4,
PS3,CVE-2020-22037,,,4.1.7;4.2.5,,,ff_frame_thread_encoder_init,,,,2,,4,
PS3,CVE-2020-22039,,,,,,avi_write_trailer,,,,2,,2,
PS3,CVE-2015-9381,,,,2.5.5;2.5.4;2.5.3,,T1_Get_Private_Dict,,,,3,,6,
PS3,CVE-2023-46219,,,,,,Curl_fopen,,,,6,,6,
PS3,CVE-2016-8621,,,,,,parsedate,,,,6,,6,
PS3,CVE-2019-5482,,,,7.65.1,,tftp_connect,,,,5,,6,
PS3,CVE-2017-8818,,,7.57.0;7.58.0;7.59.0,,,allocate_conn,,,,2,,5,
BinXray,CVE-2017-14933,,,,,,read_formatted_entries,,,,4,,4,
BinXray,CVE-2018-7208,,,,,,coff_pointerize_aux,,,,4,,4,
BinXray,CVE-2018-6543,,,2.32,,,load_specific_debug_section,,,,3,,4,
BinXray,CVE-2016-1837,,,2.9.5,,,xmlParseNCNameComplex,2.9.5,,,0,,1,
BinXray,CVE-2016-1837,,,,,,htmlParseSystemLiteral,,,,6,,6,
BinXray,CVE-2017-16931,,,,,,xmlParseNameComplex,,,,6,,6,
BinXray,CVE-2017-12992,,,,,,ripng_print,,,,6,,6,
BinXray,CVE-2017-13003,,,,,,lmp_print,,,,6,,6,
BinXray,CVE-2017-13007,,,,,,pktap_if_print,,,,6,,6,
BinXray,CVE-2017-13687,,,,,,chdlc_print,,,,6,,6,
BinXray,CVE-2015-1789,,,,,OpenSSL_1_0_0r;OpenSSL_1_0_1o,X509_cmp_time,,,,2,,4,
BinXray,CVE-2020-22037,,,,,,ff_frame_thread_encoder_init,,,,0,,4,4.2;4.1.7;3.4.9;4.2.5
BinXray,CVE-2020-22039,4.3,,,,,avi_write_trailer,,,,1,,2,
BinXray,CVE-2015-9381,,,,,,T1_Get_Private_Dict,,,,6,,6,
BinXray,CVE-2023-46219,,,8.5.0;8.6.0;8.7.1,,,Curl_fopen,,,,3,,6,
BinXray,CVE-2016-8621,,,,,,parsedate,,,,6,,6,
BinXray,CVE-2019-5482,,,,7.65.3;7.65.2;7.65.1,,tftp_connect,,,,3,,6,
BinXray,CVE-2017-8818,,,,,,allocate_conn,,,,5,,5,
PatchDiscovery,CVE-2017-14933,,,,,,read_formatted_entries,,,,4,,4,
PatchDiscovery,CVE-2018-7208,,,,,,coff_pointerize_aux,,,,4,,4,
PatchDiscovery,CVE-2018-6543,,,2.32,,,load_specific_debug_section,,,,3,,4,
PatchDiscovery,CVE-2016-1837,,,2.9.5,,,xmlParseNCNameComplex,,,,0,,1,
PatchDiscovery,CVE-2016-1837,,,,,,htmlParseSystemLiteral,,,,6,,6,
