cve,func,PS3,Robin,React,BinXray,PatchDiscovery
CVE-2013-0338,N/A,6/6,0/6,3/6,6/6,3/6
CVE-2014-9746,N/A,0/6,0/6,,5/6,5/6
CVE-2015-0209,N/A,0/1,0/4,,2/1,3/1
CVE-2015-1789,N/A,2/1,2/4,,2/1,3/1
CVE-2015-1791,N/A,1/1,3/4,,1/1,1/1
CVE-2015-3196,N/A,4/1,0/6,,3/1,3/1
CVE-2015-7498,N/A,0/6,0/6,3/6,6/6,6/6
CVE-2015-8895,N/A,3/1,0/6,0/6,3/1,3/1
CVE-2015-8958,N/A,0/1,0/3,0/3,3/1,0/1
CVE-2015-9381,N/A,3/6,6/6,6/6,6/6,6/6
CVE-2016-0702,N/A,0/1,6/6,,0/1,0/1
CVE-2016-0798,N/A,1/1,6/6,,6/1,6/1
CVE-2016-0799,N/A,3/1,6/6,,6/1,6/1
CVE-2016-10065,N/A,3/1,3/3,3/3,3/1,3/1
CVE-2016-10328,N/A,6/6,0/6,3/6,3/6,5/6
CVE-2016-1837,N/A,0/6,6/6,3/6,5/6,6/6
CVE-2016-2842,N/A,3/1,6/6,,6/1,6/1
CVE-2016-4658,N/A,0/6,0/6,3/6,0/6,0/6
CVE-2016-6153,N/A,,3/6,3/5,5/1,5/1
CVE-2016-7515,N/A,3/1,0/3,,3/1,3/1
CVE-2016-7534,N/A,0/1,0/3,0/3,3/1,3/1
CVE-2016-8621,N/A,6/1,6/6,6/6,6/1,6/1
CVE-2016-8623,N/A,0/1,0/6,0/6,0/1,0/1
CVE-2016-8625,N/A,3/1,6/6,6/6,0/1,0/1
CVE-2017-12894,N/A,0/1,0/6,3/6,3/1,3/1
CVE-2017-12902,N/A,0/1,0/0,0/6,,4/1
CVE-2017-12987,N/A,3/1,0/6,0/6,6/1,3/1
CVE-2017-12990,N/A,3/1,0/6,6/6,6/1,3/1
CVE-2017-12992,N/A,6/1,6/6,1/6,6/1,6/1
CVE-2017-12994,N/A,6/1,0/6,0/6,3/1,6/1
CVE-2017-13003,N/A,6/1,6/6,1/6,6/1,6/1
CVE-2017-13006,N/A,0/1,0/6,3/6,4/1,6/1
CVE-2017-13007,N/A,6/1,6/6,0/6,6/1,6/1
CVE-2017-13013,N/A,3/1,0/6,0/6,4/1,3/1
CVE-2017-13019,N/A,4/1,0/6,0/6,6/1,6/1
CVE-2017-13022,N/A,3/1,0/6,3/6,6/1,4/1
CVE-2017-13026,N/A,3/1,0/6,0/6,6/1,6/1
CVE-2017-13030,N/A,6/1,6/6,6/6,4/1,6/1
CVE-2017-13037,N/A,3/1,0/6,3/6,6/1,4/1
CVE-2017-13040,N/A,0/1,0/6,3/6,3/1,3/1
CVE-2017-13050,N/A,5/1,6/6,3/6,6/1,4/1
CVE-2017-13052,N/A,3/1,5/6,3/6,6/1,6/1
CVE-2017-13687,N/A,4/1,6/6,3/6,6/1,6/1
CVE-2017-13757,N/A,1/4,0/4,0/5,3/4,4/4
CVE-2017-14164,N/A,6/6,0/6,6/6,0/6,3/6
CVE-2017-14933,N/A,1/4,1/1,2/4,4/4,4/4
CVE-2017-14934,N/A,3/4,0/4,1/4,1/4,4/4
CVE-2017-15024,N/A,0/4,2/1,4/5,1/3,1/4
CVE-2017-15938,N/A,0/4,2/1,3/5,4/4,1/4
CVE-2017-16828,N/A,1/4,0/4,6/6,1/4,1/4
CVE-2017-16931,N/A,3/6,6/6,6/6,6/6,6/6
CVE-2017-6966,N/A,1/4,0/4,,1/4,1/4
CVE-2017-8818,N/A,2/1,5/5,3/5,5/1,3/1
CVE-2018-1000120,N/A,0/1,0/6,0/6,6/1,3/1
CVE-2018-14404,N/A,3/6,0/6,0/6,6/6,3/6
CVE-2018-16300,N/A,0/1,3/6,3/6,4/1,3/1
CVE-2018-20002,N/A,4/4,0/4,,4/4,4/4
CVE-2018-20346,N/A,,6/6,6/6,6/1,6/1
CVE-2018-20467,N/A,3/1,0/6,0/6,6/1,6/1
CVE-2018-6543,N/A,4/4,4/4,0/4,3/4,3/4
CVE-2018-6759,N/A,4/4,0/4,0/5,4/4,4/4
CVE-2018-7208,N/A,1/4,3/4,0/4,4/4,4/4
CVE-2018-7569,N/A,0/4,0/4,0/5,1/4,1/4
CVE-2019-12975,N/A,2/1,0/4,4/4,4/1,4/1
CVE-2019-15139,N/A,0/1,0/3,0/3,3/1,3/1
CVE-2019-1563,N/A,3/1,6/6,,6/1,3/1
CVE-2019-19317,N/A,3/1,0/4,0/4,3/1,1/1
CVE-2019-19645,N/A,0/1,6/6,3/6,6/1,6/1
CVE-2019-19880,N/A,4/1,0/4,1/4,1/1,4/1
CVE-2019-19924,N/A,0/1,4/4,3/6,4/1,4/1
CVE-2019-5482,N/A,5/1,6/6,3/6,3/1,6/1
CVE-2020-15358,N/A,,0/6,3/6,6/1,6/1
CVE-2020-16599,N/A,3/4,0/4,3/4,3/4,3/4
CVE-2020-20898,N/A,1/2,0/2,0/6,1/2,1/2
CVE-2020-22034,N/A,0/3,0/3,2/5,1/3,1/3
CVE-2020-22037,N/A,2/4,3/4,3/4,0/4,3/4
CVE-2020-22038,N/A,2/2,0/2,6/6,1/2,0/2
CVE-2020-22039,N/A,2/2,2/2,1/2,1/2,1/2
CVE-2020-24020,N/A,1/2,0/2,0/6,0/1,1/1
CVE-2020-25667,N/A,6/1,6/6,,6/1,3/1
CVE-2020-25675,N/A,6/1,0/6,6/6,6/1,3/1
CVE-2020-25676,N/A,3/1,0/6,0/6,3/1,3/1
CVE-2020-27560,N/A,4/1,0/4,3/4,4/1,4/1
CVE-2020-27755,N/A,3/1,0/6,3/6,6/1,3/1
CVE-2020-27761,N/A,0/1,0/6,0/6,1/1,3/1
CVE-2020-27765,N/A,6/1,0/6,3/6,3/1,3/1
CVE-2020-27772,N/A,6/1,0/6,0/6,3/1,3/1
CVE-2021-20246,N/A,3/1,0/6,3/6,6/1,3/1
CVE-2021-20311,N/A,6/1,6/6,0/6,6/1,6/1
CVE-2021-20312,N/A,6/1,0/6,0/6,6/1,6/1
CVE-2021-20313,N/A,6/1,6/6,0/6,6/1,6/1
CVE-2022-23308,N/A,0/6,0/6,3/6,0/6,0/6
CVE-2022-29824,N/A,3/6,0/6,0/6,0/6,0/6
CVE-2022-3786,N/A,4/1,0/1,4/6,6/1,4/1
CVE-2022-38533,N/A,6/6,0/6,6/6,3/5,3/6
CVE-2022-40303,N/A,0/6,0/6,5/6,4/6,3/6
CVE-2022-4203,N/A,3/1,5/6,5/5,3/1,3/1
CVE-2022-48065,N/A,0/6,3/1,6/6,3/5,3/6
CVE-2023-34153,N/A,0/1,4/6,4/6,3/1,3/1
CVE-2023-46218,N/A,4/1,0/6,3/6,6/1,6/1
CVE-2023-46219,N/A,6/1,3/6,6/6,3/1,3/1
