Work,CWE_ID,Matched_CVEs,Total_CVEs,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,CWE-119,92,99,193,457,59,0.4223,0.7659
PS3,CWE-754,25,27,81,113,23,0.7168,0.7788
PS3,CWE-190,16,18,54,82,18,0.6585,0.7500
PS3,CWE-401,13,13,19,53,10,0.3585,0.6552
PS3,CWE-200,7,7,14,39,8,0.3590,0.6364
PS3,CWE-835,6,6,3,28,9,0.1071,0.2500
PS3,CWE-20,5,6,6,28,9,0.2143,0.4000
BinXray,CWE-119,99,99,369,494,83,0.7470,0.8164
BinXray,CWE-754,27,27,88,122,30,0.7213,0.7458
BinXray,CWE-190,18,18,73,94,16,0.7766,0.8202
BinXray,CWE-401,13,13,23,52,28,0.4423,0.4510
BinXray,CWE-200,7,7,35,39,3,0.8974,0.9211
BinXray,CWE-835,6,6,25,30,0,0.8333,1.0000
BinXray,CWE-20,6,6,26,34,0,0.7647,1.0000
PatchDiscovery,CWE-119,99,99,376,490,74,0.7673,0.8356
PatchDiscovery,CWE-754,27,27,104,122,14,0.8525,0.8814
PatchDiscovery,CWE-190,18,18,79,94,13,0.8404,0.8587
PatchDiscovery,CWE-401,13,13,31,50,19,0.6200,0.6200
PatchDiscovery,CWE-200,7,7,26,39,12,0.6667,0.6842
PatchDiscovery,CWE-835,6,6,29,30,0,0.9667,1.0000
PatchDiscovery,CWE-20,6,6,23,34,3,0.6765,0.8846
React,CWE-119,74,99,155,394,73,0.3934,0.6798
React,CWE-754,20,27,40,100,20,0.4000,0.6667
React,CWE-190,13,18,39,70,6,0.5571,0.8667
React,CWE-401,2,13,9,11,2,0.8182,0.8182
React,CWE-200,4,7,7,22,3,0.3182,0.7000
React,CWE-835,6,6,11,29,7,0.3793,0.6111
React,CWE-20,6,6,20,32,3,0.6250,0.8696
