Work,Function_Size_Category,Count,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,1-40,164,310,820,66,0.3780,0.8245
PS3,41-80,82,202,450,57,0.4489,0.7799
PS3,81-120,38,91,194,38,0.4691,0.7054
PS3,121-160,29,63,139,31,0.4532,0.6702
PS3,161-200,15,47,75,20,0.6267,0.7015
PS3,>200,50,136,257,50,0.5292,0.7312
BinXray,1-40,175,477,887,14,0.5378,0.9715
BinXray,41-80,87,399,475,10,0.8400,0.9756
BinXray,81-120,41,166,209,6,0.7943,0.9651
BinXray,121-160,30,110,142,14,0.7746,0.8871
BinXray,161-200,16,60,82,11,0.7317,0.8451
BinXray,>200,55,187,283,33,0.6608,0.8500
PatchDiscovery,1-40,175,525,887,138,0.5919,0.7919
PatchDiscovery,41-80,87,392,475,51,0.8253,0.8849
PatchDiscovery,81-120,41,166,205,17,0.8098,0.9071
PatchDiscovery,121-160,30,118,142,22,0.8310,0.8429
PatchDiscovery,161-200,16,67,80,9,0.8375,0.8816
PatchDiscovery,>200,55,205,283,39,0.7244,0.8402
