Work,Patch_Size_Category,Count,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,1-10,113,232,552,71,0.4203,0.7657
PS3,11-20,42,96,207,35,0.4638,0.7328
PS3,21-30,13,33,65,15,0.5077,0.6875
PS3,31-40,15,30,74,8,0.4054,0.7895
PS3,41-50,2,9,12,3,0.7500,0.7500
PS3,51-60,5,6,23,2,0.2609,0.7500
PS3,61-70,5,12,27,9,0.4444,0.5714
PS3,71-80,3,8,16,3,0.5000,0.7273
PS3,>80,14,52,82,9,0.6341,0.8525
BinXray,1-10,123,415,123,49,3.3740,0.8944
BinXray,11-20,45,147,45,30,3.2667,0.8305
BinXray,21-30,13,57,13,3,4.3846,0.9500
BinXray,31-40,18,68,18,3,3.7778,0.9577
BinXray,41-50,2,12,2,0,6.0000,1.0000
BinXray,51-60,5,17,5,0,3.4000,1.0000
BinXray,61-70,5,12,5,3,2.4000,0.8000
BinXray,71-80,3,13,3,0,4.3333,1.0000
BinXray,>80,14,35,14,4,2.5000,0.8974
PatchDiscovery,1-10,123,456,123,128,3.7073,0.7808
PatchDiscovery,11-20,45,168,45,44,3.7333,0.7925
PatchDiscovery,21-30,13,56,13,8,4.3077,0.8750
PatchDiscovery,31-40,18,72,18,12,4.0000,0.8571
PatchDiscovery,41-50,2,8,2,4,4.0000,0.6667
PatchDiscovery,51-60,5,16,5,7,3.2000,0.6957
PatchDiscovery,61-70,5,10,5,14,2.0000,0.4167
PatchDiscovery,71-80,3,12,3,1,4.0000,0.9231
PatchDiscovery,>80,14,37,14,21,2.6429,0.6379
React,1-10,83,154,426,90,0.3615,0.6311
React,11-20,34,88,177,26,0.4972,0.7719
React,21-30,10,26,53,11,0.4906,0.7027
React,31-40,11,32,62,6,0.5161,0.8421
React,41-50,2,8,11,0,0.7273,1.0000
React,51-60,4,7,22,0,0.3182,1.0000
React,61-70,5,17,28,3,0.6071,0.8500
React,71-80,2,8,10,0,0.8000,1.0000
React,>80,11,36,64,12,0.5625,0.7500
