cve,PS3,Robin,React,BinXray,PatchDiscovery
CVE-2010-2500,0/6,0/6,0/6,6/6,6/6
CVE-2010-2805,6/6,0/6,6/6,6/6,3/6
CVE-2012-5669,0/6,0/6,5/6,3/6,6/6
CVE-2013-0338,6/6,0/6,3/6,6/6,3/6
CVE-2013-0339,0/6,0/6,3/6,4/6,4/6
CVE-2013-1969,0/4,4/4,1/4,3/4,4/4
CVE-2014-2241,0/6,0/6,3/6,3/6,3/6
CVE-2014-3660,0/6,0/6,3/6,6/6,6/6
CVE-2014-9658,6/6,0/6,0/6,6/6,6/6
CVE-2014-9663,4/6,0/6,3/6,6/6,6/6
CVE-2014-9746,0/6,0/6,,5/6,5/6
CVE-2015-3196,6/6,0/6,,3/3,3/6
CVE-2015-5312,0/6,0/6,3/6,6/6,6/6
CVE-2015-7498,0/6,0/6,3/6,6/6,6/6
CVE-2015-7499,0/6,0/6,3/6,6/6,0/6
CVE-2015-8241,0/6,3/6,3/6,6/6,6/6
CVE-2015-8317,0/6,0/6,3/6,6/6,6/6
CVE-2015-8871,0/6,0/6,3/6,6/6,6/6
CVE-2015-8895,0/6,0/6,0/6,0/6,0/6
CVE-2015-8896,0/6,0/6,0/6,0/6,0/6
CVE-2016-0702,0/6,0/6,,3/6,0/6
CVE-2016-0798,3/6,0/6,,3/6,1/6
CVE-2016-1833,0/6,0/6,0/6,6/6,6/6
CVE-2016-1834,0/6,0/6,3/6,6/6,6/6
CVE-2016-1840,0/6,0/6,3/6,6/6,6/6
CVE-2016-2105,6/6,0/6,,6/6,6/6
CVE-2016-2106,0/6,0/6,,3/6,3/6
CVE-2016-2108,0/6,0/6,,0/4,3/6
CVE-2016-2176,0/6,0/6,,3/6,6/6
CVE-2016-2177,5/6,0/6,,6/6,4/6
CVE-2016-4449,0/6,0/6,3/6,6/6,6/6
CVE-2016-4658,0/6,0/6,3/6,6/6,0/6
CVE-2016-7534,0/3,0/3,0/3,0/3,0/3
CVE-2016-8617,0/6,0/6,6/6,6/6,3/6
CVE-2016-8623,3/6,0/6,0/6,6/6,0/6
CVE-2016-8624,0/6,3/6,6/6,6/6,6/6
CVE-2016-8625,6/6,0/6,6/6,3/6,0/6
CVE-2016-9586,3/6,0/6,3/6,6/6,6/6
CVE-2017-12894,0/6,0/6,3/6,3/6,3/6
CVE-2017-12897,2/6,0/6,3/6,3/6,3/6
CVE-2017-12898,3/6,0/6,0/6,4/6,3/6
CVE-2017-12899,4/6,0/6,3/6,4/6,3/6
CVE-2017-13029,0/6,0/6,0/6,3/6,3/6
CVE-2017-13040,0/6,0/6,3/6,3/6,3/6
CVE-2017-13043,3/6,0/6,0/6,6/6,3/6
CVE-2017-13046,0/6,0/6,3/6,6/6,3/6
CVE-2017-13689,0/6,0/6,3/6,3/6,6/6
CVE-2017-13690,3/6,0/6,0/6,4/6,3/6
CVE-2017-13725,0/6,6/6,3/6,4/6,4/6
CVE-2017-14039,6/6,0/6,6/6,1/6,3/6
CVE-2017-14151,3/4,0/4,0/4,3/4,3/4
CVE-2017-14174,0/4,0/4,3/5,0/4,0/4
CVE-2017-14729,2/4,0/4,2/5,1/4,3/4
CVE-2017-14974,3/4,0/4,0/5,0/4,1/4
CVE-2017-16828,1/4,0/4,6/6,1/4,1/4
CVE-2017-16932,0/6,0/6,3/6,6/6,6/6
CVE-2017-17080,4/4,0/4,0/6,1/4,1/4
CVE-2017-17126,0/4,0/4,1/4,1/4,1/4
CVE-2017-5130,0/6,0/6,3/6,6/6,6/6
CVE-2017-7375,0/6,0/6,3/6,3/6,6/6
CVE-2017-9040,1/4,0/4,,1/4,0/4
CVE-2017-9955,0/4,0/4,0/5,0/4,0/4
CVE-2018-1000007,0/6,0/6,6/6,3/6,0/6
CVE-2018-1000120,0/6,0/6,0/6,1/6,3/6
CVE-2018-14470,1/6,0/6,0/6,4/6,4/6
CVE-2018-14882,3/6,0/6,0/6,3/6,3/6
CVE-2018-17358,3/4,0/4,0/4,3/4,4/4
CVE-2018-20847,3/6,0/6,5/6,0/6,0/5
CVE-2018-7643,4/4,0/4,0/6,1/4,1/4
CVE-2019-14981,0/6,0/6,0/6,3/6,3/6
CVE-2019-1543,3/6,0/6,,5/5,4/5
CVE-2019-1547,0/6,,,,0/6
CVE-2019-16711,1/4,0/4,2/5,0/4,0/4
CVE-2019-17541,3/6,0/6,,1/6,3/6
CVE-2019-19646,6/6,0/6,3/6,3/6,3/6
CVE-2019-19956,0/6,0/6,3/5,5/5,5/6
CVE-2019-5435,6/6,0/6,0/6,6/6,6/6
CVE-2020-11656,,0/6,6/6,1/6,0/6
CVE-2020-16590,0/4,0/4,1/4,0/4,1/4
CVE-2020-22024,1/2,0/2,2/2,1/2,2/2
CVE-2020-22030,0/3,0/3,1/3,1/3,1/3
CVE-2020-22036,0/4,0/4,1/4,1/4,1/4
CVE-2020-22044,0/4,0/4,,1/4,1/4
CVE-2020-25663,0/6,0/6,3/6,3/6,3/6
CVE-2020-25667,6/6,0/6,,6/6,3/6
CVE-2020-25675,6/6,0/6,6/6,6/6,3/6
CVE-2020-25676,3/6,0/6,0/6,3/6,3/6
CVE-2020-27750,0/6,0/6,3/6,3/6,3/6
CVE-2020-27765,6/6,0/6,3/6,3/6,3/6
CVE-2020-27769,0/6,0/6,0/6,3/6,3/6
CVE-2020-27829,0/6,0/6,,6/6,3/6
CVE-2020-7595,0/4,0/4,1/4,4/4,4/4
CVE-2020-8169,0/6,0/6,6/6,6/6,3/6
CVE-2021-20311,3/6,0/6,0/6,3/6,3/6
CVE-2021-20312,3/6,0/6,0/6,3/6,3/6
CVE-2021-20313,3/6,0/6,0/6,3/6,3/6
CVE-2021-3574,1/4,0/4,,4/4,4/4
CVE-2021-3962,0/4,0/4,0/4,3/4,1/4
CVE-2021-4044,3/6,0/6,0/6,3/6,1/6
CVE-2022-0284,3/6,0/6,0/6,3/6,3/6
CVE-2022-1343,0/6,0/6,5/5,5/5,3/5
CVE-2022-23308,0/6,0/6,3/6,6/6,0/6
CVE-2022-29824,3/6,0/6,0/6,0/6,0/6
CVE-2022-3602,6/6,0/6,0/6,6/6,6/6
CVE-2022-3786,0/6,0/6,4/6,3/6,3/6
CVE-2022-46908,,0/6,3/6,3/6,3/6
CVE-2022-48541,3/4,0/4,0/6,4/4,1/4
CVE-2023-0216,2/6,0/6,2/6,3/6,3/6
CVE-2023-1579,4/4,0/4,0/4,1/3,1/4
CVE-2023-2650,0/6,0/6,3/6,3/6,3/6
CVE-2023-34152,0/6,0/6,0/6,3/6,3/6
CVE-2024-0727,6/6,4/6,6/6,2/6,3/6
