[2025-08-07 11:33:35] CVE: 450bd716ed3b | Commit: 450bd716ed3b | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:02:49] CVE: 7dbf5b259e39 | Commit: 7dbf5b259e39 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:04:13] CVE: c7e8637b8c1c | Commit: c7e8637b8c1cc32dd40de083967fbb324d6bfca7 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:13:35] CVE: 450bd716ed3b | Commit: 450bd716ed3b | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:16:06] CVE: 7dbf5b259e39 | Commit: 7dbf5b259e39 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:16:38] CVE: c7e8637b8c1c | Commit: c7e8637b8c1cc32dd40de083967fbb324d6bfca7 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:18:21] CVE: 81bfff275985 | Commit: 81bfff275985 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:18:52] CVE: 0100b8013536 | Commit: 0100b8013536d7836566642d69d521fba1d15cf6 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:30:18] CVE: f391a5f4554f | Commit: f391a5f4554f | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:30:49] CVE: 4a7d14e25096 | Commit: 4a7d14e2509678b043eb55e3ef4a116560490e0b | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:31:19] CVE: f391a5f4554f | Commit: f391a5f4554f | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:31:49] CVE: 4a7d14e25096 | Commit: 4a7d14e2509678b043eb55e3ef4a116560490e0b | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:32:20] CVE: ba21957ed064 | Commit: ba21957ed064 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:32:51] CVE: a40fff3ad3ed | Commit: a40fff3ad3ed1e6af8af93c71026a7ed00530c1d | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:44:32] CVE: 868aad754ee5 | Commit: 868aad754ee5 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 13:45:02] CVE: 0664307e5e34 | Commit: 0664307e5e3492eaa1cb28fdd68c1d7338836147 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:17:18] CVE: ffb683e62dde | Commit: ffb683e62dde | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:17:57] CVE: af1e00d4dd31 | Commit: af1e00d4dd31660fa71dad635a6b83db134bd002 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:28:21] CVE: 01faddbe2711 | Commit: 01faddbe2711 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:28:54] CVE: 8fa069797945 | Commit: 8fa069797945f7b6e64b33cad4780311ff1b4ad5 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:30:26] CVE: 0fb77f2a2310 | Commit: 0fb77f2a2310 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:30:58] CVE: 8c6e77e03928 | Commit: 8c6e77e03928ece193767f7ad9a1485b79578099 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:33:39] CVE: 716496e6df0a | Commit: 716496e6df0a | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:34:10] CVE: 469219cc8713 | Commit: 469219cc87137ce38c5408b6774caa24c6095e9a | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:43:09] CVE: 9a9896fce95d | Commit: 9a9896fce95d | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
[2025-08-07 14:43:37] CVE: 3bd5ce112de3 | Commit: 3bd5ce112de3b075ab4a779d0b6db1047ef81be2 | Type: BINARY_NOT_FOUND | Binary: imagemagick | Details: 编译后未找到有效的 imagemagick 二进制文件
